Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
On-Off,0.496,26.5,72.1,50.3,56.3,7.9,9.6,15.6,107.2
On Court,0.47100000000000003,30.7,70.9,50.4,57.0,10.5,8.6,17.2,102.9
Off Court,0.025,-4.2,1.2,-0.1,-0.7,-2.6,1.0,-1.6,4.3
