Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
Off Court,0.44799999999999995,27.9,73.5,49.7,53.0,8.5,8.2,15.7,98.5
On-Off,0.47700000000000004,29.1,69.3,49.6,56.1,8.8,9.1,17.1,103.6
On Court,-0.028999999999999998,-1.2,4.2,0.1,-3.1,-0.3,-0.9,-1.4,-5.1
