Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
Off Court,0.502,29.6,71.0,51.6,56.3,8.0,9.8,16.8,107.2
On-Off,0.47700000000000004,25.7,72.6,49.0,56.2,10.1,7.5,19.5,97.5
On Court,0.025,3.9,-1.6,2.6,0.1,-2.1,2.3,-2.7,9.7
