Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
On-Off,0.44299999999999995,29.0,70.4,48.4,54.8,8.6,8.3,16.0,98.1
On Court,0.494,27.4,74.3,51.0,53.1,10.0,9.0,18.3,103.2
Off Court,-0.051,1.6,-3.9,-2.6,1.7,-1.4,-0.7,-2.3,-5.1
