Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
Off Court,0.5589999999999999,21.7,79.3,51.3,56.1,9.1,8.6,14.5,118.1
On-Off,0.536,20.3,81.1,50.1,54.8,8.2,8.2,14.1,110.7
On Court,0.023,1.4,-1.8,1.2,1.3,0.9,0.4,0.4,7.4
