Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
Off Court,0.528,20.7,78.3,48.7,56.0,8.0,10.7,15.4,107.6
On-Off,0.51,18.9,79.7,49.9,57.9,7.1,10.1,14.5,105.5
On Court,0.018000000000000002,1.8,-1.4,-1.2,-1.9,0.9,0.6,0.9,2.1
