Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
Off Court,0.46799999999999997,23.2,76.5,47.6,57.1,8.6,7.9,14.5,101.1
On-Off,0.503,25.7,76.6,51.1,57.0,8.7,6.4,14.1,110.0
On Court,-0.035,-2.5,-0.1,-3.5,0.1,-0.1,1.5,0.4,-8.9
