Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
Off Court,0.589,23.5,76.8,52.4,68.1,8.5,9.4,15.2,119.0
On-Off,0.504,23.4,74.3,48.9,66.7,8.1,8.7,15.0,105.4
On Court,0.085,0.1,2.5,3.5,1.4,0.4,0.7,0.2,13.6
