Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
Off Court,0.563,24.4,75.6,50.9,66.4,9.8,9.7,14.2,116.6
On-Off,0.49,23.4,72.1,48.4,64.7,8.7,8.7,15.6,102.2
On Court,0.073,1.0,3.5,2.5,1.7,1.1,1.0,-1.4,14.4
