Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
Off Court,0.467,24.4,75.6,49.1,56.6,8.2,6.0,16.6,99.8
On-Off,0.474,27.9,76.6,51.6,56.5,9.0,5.8,15.8,103.6
On Court,-0.006999999999999999,-3.5,-1.0,-2.5,0.1,-0.8,0.2,0.8,-3.8
