Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
Off Court,0.522,29.4,75.8,53.3,53.4,7.3,7.8,14.5,115.6
On-Off,0.47600000000000003,27.0,73.0,50.0,56.5,8.4,8.1,18.0,101.0
On Court,0.046,2.4,2.8,3.3,-3.1,-1.1,-0.3,-3.5,14.6
