Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
Off Court,0.485,26.4,74.1,49.2,57.4,7.7,7.1,14.7,105.4
On-Off,0.485,27.6,72.3,49.4,57.1,9.7,8.0,15.3,106.2
On Court,0.0,-1.2,1.8,-0.2,0.3,-2.0,-0.9,-0.6,-0.8
