Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
Off Court,0.525,25.9,73.6,50.8,60.8,8.3,7.9,14.1,114.4
On-Off,0.523,27.7,72.4,50.6,65.6,8.4,8.4,17.5,108.2
On Court,0.002,-1.8,1.2,0.2,-4.8,-0.1,-0.5,-3.4,6.2
