Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
Off Court,0.5,18.9,80.0,47.4,60.6,6.1,9.4,13.4,104.5
On-Off,0.508,20.8,78.1,48.0,62.0,7.3,8.6,12.3,108.2
On Court,-0.008,-1.9,1.9,-0.6,-1.4,-1.2,0.8,1.1,-3.7
