,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
0,2013-14,19.0,MIL,NBA,SF,77,23,1897,4.8,11.5,0.414,1.1,3.3,0.34700000000000003,3.6,8.3,0.44,3.8,5.6,0.6829999999999999,2.2,7.2,9.3,4.1,1.7,1.7,3.4,4.8,14.5,,99,110
1,2014-15,20.0,MIL,NBA,SG,81,71,2541,7.7,15.7,0.491,0.1,0.9,0.159,7.5,14.8,0.511,5.2,7.0,0.741,2.0,8.9,10.9,4.2,1.5,1.7,3.5,5.1,20.7,,105,101
2,2015-16,21.0,MIL,NBA,PG,80,79,2823,9.3,18.3,0.506,0.5,2.0,0.257,8.8,16.3,0.537,5.3,7.4,0.7240000000000001,2.0,9.0,11.0,6.2,1.7,2.0,3.8,4.7,24.4,,109,106
3,2016-17,22.0,MIL,NBA,SF,80,80,2845,11.7,22.5,0.521,0.9,3.2,0.272,10.8,19.3,0.563,8.4,10.9,0.77,2.5,10.0,12.5,7.7,2.3,2.7,4.2,4.4,32.7,,116,104
4,2017-18,23.0,MIL,NBA,PF,75,75,2756,13.4,25.4,0.529,0.8,2.5,0.307,12.6,22.8,0.5539999999999999,8.8,11.6,0.76,2.8,10.8,13.6,6.5,2.0,1.9,4.0,4.2,36.4,,116,106
5,2018-19,24.0,MIL,NBA,PF,72,72,2358,14.2,24.6,0.578,1.0,4.0,0.256,13.2,20.6,0.6409999999999999,9.9,13.5,0.7290000000000001,3.1,14.6,17.7,8.4,1.8,2.2,5.3,4.6,39.3,,121,99
6,Career,,,NBA,,465,400,15220,10.5,20.2,0.521,0.7,2.6,0.27699999999999997,9.8,17.5,0.557,7.1,9.5,0.742,2.5,10.2,12.7,6.3,1.8,2.1,4.0,4.6,28.8,,113,104
