Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
Off Court,0.5589999999999999,20.0,81.1,52.6,59.4,7.5,12.0,13.1,116.6
On-Off,0.536,21.9,79.2,52.0,61.2,6.9,8.0,13.9,111.5
On Court,0.023,-1.9,1.9,0.6,-1.8,0.6,4.0,-0.8,5.1
