G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,2016-10-25,Portland Trail Blazers,L,104,113,L 1,0-1,-9
2,2016-10-28,Los Angeles Lakers,W,96,89,W 1,1-1,7
3,2016-10-30,Los Angeles Clippers,L,75,88,L 1,1-2,-13
4,2016-11-01,San Antonio Spurs,W,106,91,W 1,2-2,15
5,2016-11-02,Dallas Mavericks,W,97,81,W 2,3-2,16
6,2016-11-04,San Antonio Spurs,L,86,100,L 1,3-3,-14
7,2016-11-06,New York Knicks,W,114,109,W 1,4-3,5
8,2016-11-07,Philadelphia 76ers,W,109,84,W 2,5-3,25
9,2016-11-09,Charlotte Hornets,L,98,104,L 1,5-4,-6
10,2016-11-11,Orlando Magic,W,87,74,W 1,6-4,13
11,2016-11-12,Miami Heat,W,102,91,W 2,7-4,11
12,2016-11-14,Memphis Grizzlies,L,96,102,L 1,7-5,-6
13,2016-11-17,Chicago Bulls,L,77,85,L 2,7-6,-8
14,2016-11-19,Houston Rockets,L,102,111,L 3,7-7,-9
15,2016-11-20,Denver Nuggets,L,91,105,L 4,7-8,-14
16,2016-11-23,Denver Nuggets,W,108,83,W 1,8-8,25
17,2016-11-25,Atlanta Hawks,W,95,68,W 2,9-8,27
18,2016-11-28,Minnesota Timberwolves,W,112,103,W 3,10-8,9
19,2016-11-29,Houston Rockets,W,120,101,W 4,11-8,19
20,2016-12-01,Miami Heat,L,110,111,L 1,11-9,-1
21,2016-12-03,Denver Nuggets,W,105,98,W 1,12-9,7
22,2016-12-05,Los Angeles Lakers,W,107,101,W 2,13-9,6
23,2016-12-06,Phoenix Suns,W,112,105,W 3,14-9,7
24,2016-12-08,Golden State Warriors,L,99,106,L 1,14-10,-7
25,2016-12-10,Sacramento Kings,W,104,84,W 1,15-10,20
26,2016-12-14,Oklahoma City Thunder,W,109,89,W 2,16-10,20
27,2016-12-16,Dallas Mavericks,W,103,100,W 3,17-10,3
28,2016-12-18,Memphis Grizzlies,W,82,73,W 4,18-10,9
29,2016-12-20,Golden State Warriors,L,74,104,L 1,18-11,-30
30,2016-12-21,Sacramento Kings,L,93,94,L 2,18-12,-1
31,2016-12-23,Toronto Raptors,L,98,104,L 3,18-13,-6
32,2016-12-27,Los Angeles Lakers,W,102,100,W 1,19-13,2
33,2016-12-29,Philadelphia 76ers,W,100,83,W 2,20-13,17
34,2016-12-31,Phoenix Suns,W,91,86,W 3,21-13,5
35,2017-01-02,Brooklyn Nets,W,101,89,W 4,22-13,12
36,2017-01-03,Boston Celtics,L,104,115,L 1,22-14,-11
37,2017-01-05,Toronto Raptors,L,93,101,L 2,22-15,-8
38,2017-01-07,Minnesota Timberwolves,W,94,92,W 1,23-15,2
39,2017-01-08,Memphis Grizzlies,L,79,88,L 1,23-16,-9
40,2017-01-10,Cleveland Cavaliers,W,100,92,W 1,24-16,8
41,2017-01-13,Detroit Pistons,W,110,77,W 2,25-16,33
42,2017-01-14,Orlando Magic,W,114,107,W 3,26-16,7
43,2017-01-16,Phoenix Suns,W,106,101,W 4,27-16,5
44,2017-01-20,Dallas Mavericks,W,112,107,W 5,28-16,5
45,2017-01-21,Indiana Pacers,W,109,100,W 6,29-16,9
46,2017-01-23,Oklahoma City Thunder,L,95,97,L 1,29-17,-2
47,2017-01-24,Denver Nuggets,L,93,103,L 2,29-18,-10
48,2017-01-26,Los Angeles Lakers,W,96,88,W 1,30-18,8
49,2017-01-28,Memphis Grizzlies,L,95,102,L 1,30-19,-7
50,2017-02-01,Milwaukee Bucks,W,104,88,W 1,31-19,16
51,2017-02-04,Charlotte Hornets,W,105,98,W 2,32-19,7
52,2017-02-06,Atlanta Hawks,W,120,95,W 3,33-19,25
53,2017-02-08,New Orleans Pelicans,W,127,94,W 4,34-19,33
54,2017-02-09,Dallas Mavericks,L,105,112,L 1,34-20,-7
55,2017-02-11,Boston Celtics,L,104,112,L 2,34-21,-8
56,2017-02-13,Los Angeles Clippers,L,72,88,L 3,34-22,-16
57,2017-02-15,Portland Trail Blazers,W,111,88,W 1,35-22,23
58,2017-02-24,Milwaukee Bucks,W,109,95,W 2,36-22,14
59,2017-02-26,Washington Wizards,W,102,92,W 3,37-22,10
60,2017-02-28,Oklahoma City Thunder,L,106,109,L 1,37-23,-3
61,2017-03-01,Minnesota Timberwolves,L,80,107,L 2,37-24,-27
62,2017-03-03,Brooklyn Nets,W,112,97,W 1,38-24,15
63,2017-03-05,Sacramento Kings,W,110,109,W 2,39-24,1
64,2017-03-06,New Orleans Pelicans,W,88,83,W 3,40-24,5
65,2017-03-08,Houston Rockets,W,115,108,W 4,41-24,7
66,2017-03-11,Oklahoma City Thunder,L,104,112,L 1,41-25,-8
67,2017-03-13,Los Angeles Clippers,W,114,108,W 1,42-25,6
68,2017-03-15,Detroit Pistons,W,97,83,W 2,43-25,14
69,2017-03-16,Cleveland Cavaliers,L,83,91,L 1,43-26,-8
70,2017-03-18,Chicago Bulls,L,86,95,L 2,43-27,-9
71,2017-03-20,Indiana Pacers,L,100,107,L 3,43-28,-7
72,2017-03-22,New York Knicks,W,108,101,W 1,44-28,7
73,2017-03-25,Los Angeles Clippers,L,95,108,L 1,44-29,-13
74,2017-03-27,New Orleans Pelicans,W,108,100,W 1,45-29,8
75,2017-03-29,Sacramento Kings,W,112,82,W 2,46-29,30
76,2017-03-31,Washington Wizards,W,95,88,W 3,47-29,7
77,2017-04-02,San Antonio Spurs,L,103,109,L 1,47-30,-6
78,2017-04-04,Portland Trail Blazers,W,106,87,W 1,48-30,19
79,2017-04-07,Minnesota Timberwolves,W,120,113,W 2,49-30,7
80,2017-04-08,Portland Trail Blazers,L,86,101,L 1,49-31,-15
81,2017-04-10,Golden State Warriors,W,105,99,W 1,50-31,6
82,2017-04-12,San Antonio Spurs,W,101,97,W 2,51-31,4
