G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,2001-10-30,Cleveland Cavaliers,W,108,89,W 1,1-0,19
2,2001-10-31,New Jersey Nets,L,92,95,L 1,1-1,-3
3,2001-11-02,Chicago Bulls,W,96,82,W 1,2-1,14
4,2001-11-03,Milwaukee Bucks,L,99,105,L 1,2-2,-6
5,2001-11-07,Washington Wizards,W,104,95,W 1,3-2,9
6,2001-11-09,Seattle SuperSonics,W,104,94,W 2,4-2,10
7,2001-11-14,Indiana Pacers,W,101,93,W 3,5-2,8
8,2001-11-17,Atlanta Hawks,L,103,112,L 1,5-3,-9
9,2001-11-21,Atlanta Hawks,L,85,92,L 2,5-4,-7
10,2001-11-23,Toronto Raptors,L,89,91,L 3,5-5,-2
11,2001-11-24,Washington Wizards,L,84,88,L 4,5-6,-4
12,2001-11-27,Miami Heat,W,84,83,W 1,6-6,1
13,2001-11-29,Orlando Magic,W,99,89,W 2,7-6,10
14,2001-12-01,New Jersey Nets,W,105,98,W 3,8-6,7
15,2001-12-02,Toronto Raptors,W,85,69,W 4,9-6,16
16,2001-12-05,Denver Nuggets,W,95,80,W 5,10-6,15
17,2001-12-07,Phoenix Suns,W,109,102,W 6,11-6,7
18,2001-12-08,Chicago Bulls,L,84,87,L 1,11-7,-3
19,2001-12-11,New York Knicks,W,102,93,W 1,12-7,9
20,2001-12-14,Chicago Bulls,W,107,101,W 2,13-7,6
21,2001-12-15,Charlotte Hornets,W,106,97,W 3,14-7,9
22,2001-12-17,Philadelphia 76ers,L,83,99,L 1,14-8,-16
23,2001-12-19,Cleveland Cavaliers,W,104,98,W 1,15-8,6
24,2001-12-21,Utah Jazz,W,98,92,W 2,16-8,6
25,2001-12-23,Memphis Grizzlies,W,85,80,W 3,17-8,5
26,2001-12-26,Utah Jazz,L,86,99,L 1,17-9,-13
27,2001-12-27,Phoenix Suns,L,82,84,L 2,17-10,-2
28,2001-12-29,Los Angeles Clippers,W,105,103,W 1,18-10,2
29,2001-12-30,Sacramento Kings,L,94,109,L 1,18-11,-15
30,2002-01-02,Orlando Magic,W,110,94,W 1,19-11,16
31,2002-01-04,Miami Heat,L,66,89,L 1,19-12,-23
32,2002-01-05,New York Knicks,W,90,81,W 1,20-12,9
33,2002-01-07,Orlando Magic,L,87,98,L 1,20-13,-11
34,2002-01-09,San Antonio Spurs,L,90,93,L 2,20-14,-3
35,2002-01-11,Detroit Pistons,W,104,90,W 1,21-14,14
36,2002-01-12,Atlanta Hawks,W,115,91,W 2,22-14,24
37,2002-01-16,New York Knicks,W,101,100,W 3,23-14,1
38,2002-01-18,Houston Rockets,L,101,104,L 1,23-15,-3
39,2002-01-19,Detroit Pistons,L,91,94,L 2,23-16,-3
40,2002-01-21,Toronto Raptors,W,106,97,W 1,24-16,9
41,2002-01-23,Indiana Pacers,W,98,94,W 2,25-16,4
42,2002-01-25,Philadelphia 76ers,L,90,106,L 1,25-17,-16
43,2002-01-26,Cleveland Cavaliers,W,108,101,W 1,26-17,7
44,2002-01-29,Milwaukee Bucks,L,90,109,L 1,26-18,-19
45,2002-01-31,Toronto Raptors,L,92,97,L 2,26-19,-5
46,2002-02-01,Minnesota Timberwolves,L,95,98,L 3,26-20,-3
47,2002-02-03,Los Angeles Clippers,W,104,91,W 1,27-20,13
48,2002-02-05,Charlotte Hornets,W,82,79,W 2,28-20,3
49,2002-02-06,Sacramento Kings,L,85,102,L 1,28-21,-17
50,2002-02-12,Denver Nuggets,W,110,93,W 1,29-21,17
51,2002-02-13,Golden State Warriors,L,75,92,L 1,29-22,-17
52,2002-02-15,Portland Trail Blazers,W,107,104,W 1,30-22,3
53,2002-02-16,Seattle SuperSonics,L,79,99,L 1,30-23,-20
54,2002-02-19,Los Angeles Lakers,W,109,108,W 1,31-23,1
55,2002-02-21,Dallas Mavericks,L,92,98,L 1,31-24,-6
56,2002-02-23,Houston Rockets,L,89,99,L 2,31-25,-10
57,2002-02-27,Milwaukee Bucks,L,92,95,L 3,31-26,-3
58,2002-03-01,Charlotte Hornets,L,87,100,L 4,31-27,-13
59,2002-03-04,Philadelphia 76ers,W,100,94,W 1,32-27,6
60,2002-03-06,Orlando Magic,W,130,110,W 2,33-27,20
61,2002-03-08,Detroit Pistons,W,117,92,W 3,34-27,25
62,2002-03-10,Washington Wizards,W,98,91,W 4,35-27,7
63,2002-03-11,Washington Wizards,W,104,99,W 5,36-27,5
64,2002-03-13,New Jersey Nets,W,97,89,W 6,37-27,8
65,2002-03-15,Memphis Grizzlies,W,103,97,W 7,38-27,6
66,2002-03-16,San Antonio Spurs,L,104,111,L 1,38-28,-7
