G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,1991-11-01,Dallas Mavericks,W,140,99,W 1,1-0,41
2,1991-11-03,Seattle SuperSonics,W,106,98,W 2,2-0,8
3,1991-11-05,Denver Nuggets,L,96,97,L 1,2-1,-1
4,1991-11-06,Portland Trail Blazers,W,119,93,W 1,3-1,26
5,1991-11-08,Cleveland Cavaliers,W,107,101,W 2,4-1,6
6,1991-11-13,Los Angeles Clippers,W,107,93,W 3,5-1,14
7,1991-11-16,New York Knicks,W,106,89,W 4,6-1,17
8,1991-11-20,Minnesota Timberwolves,W,113,106,W 5,7-1,7
9,1991-11-22,Los Angeles Lakers,L,96,98,L 1,7-2,-2
10,1991-11-24,Portland Trail Blazers,L,111,116,L 2,7-3,-5
11,1991-11-27,New Jersey Nets,W,106,100,W 1,8-3,6
12,1991-11-29,Atlanta Hawks,W,88,85,W 2,9-3,3
13,1991-11-30,Seattle SuperSonics,W,119,101,W 3,10-3,18
14,1991-12-03,Sacramento Kings,L,94,99,L 1,10-4,-5
15,1991-12-04,Los Angeles Clippers,L,81,92,L 2,10-5,-11
16,1991-12-06,Utah Jazz,L,92,93,L 3,10-6,-1
17,1991-12-08,Milwaukee Bucks,L,83,102,L 4,10-7,-19
18,1991-12-10,Indiana Pacers,L,102,109,L 5,10-8,-7
19,1991-12-11,Minnesota Timberwolves,W,98,85,W 1,11-8,13
20,1991-12-13,Phoenix Suns,L,107,112,L 1,11-9,-5
21,1991-12-14,Houston Rockets,W,107,100,W 1,12-9,7
22,1991-12-17,Dallas Mavericks,W,98,87,W 2,13-9,11
23,1991-12-18,Washington Bullets,L,93,96,L 1,13-10,-3
24,1991-12-20,Phoenix Suns,L,91,116,L 2,13-11,-25
25,1991-12-23,Sacramento Kings,W,101,90,W 1,14-11,11
26,1991-12-26,New York Knicks,W,118,89,W 2,15-11,29
27,1991-12-27,Cleveland Cavaliers,L,97,103,L 1,15-12,-6
28,1991-12-29,Orlando Magic,W,96,87,W 1,16-12,9
29,1991-12-30,Washington Bullets,L,84,94,L 1,16-13,-10
30,1992-01-04,Houston Rockets,L,110,112,L 2,16-14,-2
31,1992-01-06,Detroit Pistons,W,100,90,W 1,17-14,10
32,1992-01-08,Los Angeles Lakers,W,103,87,W 2,18-14,16
33,1992-01-10,Golden State Warriors,W,128,120,W 3,19-14,8
34,1992-01-11,Denver Nuggets,W,96,85,W 4,20-14,11
35,1992-01-14,Golden State Warriors,L,123,124,L 1,20-15,-1
36,1992-01-16,Minnesota Timberwolves,W,125,111,W 1,21-15,14
37,1992-01-17,Chicago Bulls,L,96,102,L 1,21-16,-6
38,1992-01-19,Boston Celtics,L,89,98,L 2,21-17,-9
39,1992-01-21,Los Angeles Clippers,W,114,100,W 1,22-17,14
40,1992-01-22,Utah Jazz,L,98,100,L 1,22-18,-2
41,1992-01-24,Milwaukee Bucks,W,115,86,W 1,23-18,29
42,1992-01-28,Chicago Bulls,W,109,104,W 2,24-18,5
43,1992-01-29,Dallas Mavericks,W,108,93,W 3,25-18,15
44,1992-01-31,Minnesota Timberwolves,W,103,101,W 4,26-18,2
45,1992-02-04,Portland Trail Blazers,W,95,88,W 5,27-18,7
46,1992-02-06,Indiana Pacers,L,106,117,L 1,27-19,-11
47,1992-02-11,Boston Celtics,W,100,84,W 1,28-19,16
48,1992-02-13,Golden State Warriors,L,94,109,L 1,28-20,-15
49,1992-02-14,Seattle SuperSonics,L,91,108,L 2,28-21,-17
50,1992-02-16,Sacramento Kings,W,112,106,W 1,29-21,6
51,1992-02-17,Los Angeles Clippers,L,110,124,L 1,29-22,-14
52,1992-02-19,Minnesota Timberwolves,W,113,103,W 1,30-22,10
53,1992-02-21,Philadelphia 76ers,W,100,90,W 2,31-22,10
54,1992-02-23,Houston Rockets,L,83,90,L 1,31-23,-7
55,1992-02-25,Miami Heat,W,123,101,W 1,32-23,22
56,1992-02-27,Golden State Warriors,W,124,103,W 2,33-23,21
57,1992-02-29,Denver Nuggets,W,115,112,W 3,34-23,3
58,1992-03-03,Minnesota Timberwolves,W,103,102,W 4,35-23,1
59,1992-03-04,Utah Jazz,L,93,102,L 1,35-24,-9
60,1992-03-07,Phoenix Suns,W,122,109,W 1,36-24,13
61,1992-03-08,Dallas Mavericks,W,93,81,W 2,37-24,12
62,1992-03-10,Atlanta Hawks,W,103,92,W 3,38-24,11
63,1992-03-12,Houston Rockets,W,104,98,W 4,39-24,6
64,1992-03-14,Utah Jazz,W,113,106,W 5,40-24,7
65,1992-03-16,Charlotte Hornets,L,112,117,L 1,40-25,-5
66,1992-03-18,Sacramento Kings,W,118,89,W 1,41-25,29
67,1992-03-21,Seattle SuperSonics,W,101,96,W 2,42-25,5
68,1992-03-23,Philadelphia 76ers,L,92,105,L 1,42-26,-13
69,1992-03-25,Charlotte Hornets,L,108,113,L 2,42-27,-5
70,1992-03-27,Miami Heat,L,101,118,L 3,42-28,-17
71,1992-03-29,Detroit Pistons,L,103,107,L 4,42-29,-4
72,1992-03-30,New Jersey Nets,L,109,117,L 5,42-30,-8
73,1992-04-01,Los Angeles Lakers,W,104,86,W 1,43-30,18
74,1992-04-03,Orlando Magic,L,106,113,L 1,43-31,-7
75,1992-04-05,Denver Nuggets,W,90,87,W 1,44-31,3
76,1992-04-07,Houston Rockets,L,92,95,L 1,44-32,-3
77,1992-04-09,Los Angeles Lakers,W,102,94,W 1,45-32,8
78,1992-04-12,Portland Trail Blazers,L,97,123,L 1,45-33,-26
79,1992-04-14,Dallas Mavericks,W,120,108,W 1,46-33,12
80,1992-04-16,Phoenix Suns,L,101,121,L 1,46-34,-20
81,1992-04-17,Denver Nuggets,W,108,94,W 1,47-34,14
82,1992-04-19,Utah Jazz,L,90,101,L 1,47-35,-11
