G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,1981-10-30,Kansas City Kings,W,113,102,W 1,1-0,11
2,1981-10-31,Denver Nuggets,W,145,120,W 2,2-0,25
3,1981-11-03,Phoenix Suns,L,88,111,L 1,2-1,-23
4,1981-11-04,Cleveland Cavaliers,W,128,102,W 1,3-1,26
5,1981-11-07,New York Knicks,W,103,96,W 2,4-1,7
6,1981-11-10,Los Angeles Lakers,W,128,102,W 3,5-1,26
7,1981-11-13,Seattle SuperSonics,W,119,112,W 4,6-1,7
8,1981-11-15,Portland Trail Blazers,W,110,105,W 5,7-1,5
9,1981-11-17,Dallas Mavericks,W,112,105,W 6,8-1,7
10,1981-11-18,Seattle SuperSonics,W,111,93,W 7,9-1,18
11,1981-11-20,Los Angeles Lakers,L,116,136,L 1,9-2,-20
12,1981-11-21,Golden State Warriors,L,122,129,L 2,9-3,-7
13,1981-11-25,Los Angeles Lakers,L,96,117,L 3,9-4,-21
14,1981-11-27,New Jersey Nets,W,114,86,W 1,10-4,28
15,1981-11-29,Milwaukee Bucks,L,89,105,L 1,10-5,-16
16,1981-12-01,Washington Bullets,W,110,99,W 1,11-5,11
17,1981-12-02,Philadelphia 76ers,W,106,101,W 2,12-5,5
18,1981-12-04,Portland Trail Blazers,W,127,111,W 3,13-5,16
19,1981-12-09,Seattle SuperSonics,W,110,99,W 4,14-5,11
20,1981-12-11,Dallas Mavericks,W,101,99,W 5,15-5,2
21,1981-12-12,Utah Jazz,W,111,97,W 6,16-5,14
22,1981-12-15,Utah Jazz,L,103,108,L 1,16-6,-5
23,1981-12-18,Phoenix Suns,L,104,108,L 2,16-7,-4
24,1981-12-19,Denver Nuggets,L,125,138,L 3,16-8,-13
25,1981-12-23,San Diego Clippers,W,114,109,W 1,17-8,5
26,1981-12-26,Atlanta Hawks,L,97,105,L 1,17-9,-8
27,1981-12-29,San Diego Clippers,W,119,107,W 1,18-9,12
28,1981-12-30,Houston Rockets,W,109,104,W 2,19-9,5
29,1982-01-02,Denver Nuggets,W,148,133,W 3,20-9,15
30,1982-01-05,Portland Trail Blazers,L,110,115,L 1,20-10,-5
31,1982-01-06,Utah Jazz,L,115,130,L 2,20-11,-15
32,1982-01-07,Golden State Warriors,W,123,112,W 1,21-11,11
33,1982-01-09,Kansas City Kings,W,113,100,W 2,22-11,13
34,1982-01-12,Dallas Mavericks,W,127,109,W 3,23-11,18
35,1982-01-15,Houston Rockets,W,128,90,W 4,24-11,38
36,1982-01-16,Houston Rockets,L,99,116,L 1,24-12,-17
37,1982-01-19,Phoenix Suns,L,96,108,L 2,24-13,-12
38,1982-01-21,Utah Jazz,W,123,104,W 1,25-13,19
39,1982-01-22,Atlanta Hawks,W,115,107,W 2,26-13,8
40,1982-01-23,Indiana Pacers,L,98,107,L 1,26-14,-9
41,1982-01-26,Philadelphia 76ers,W,103,95,W 1,27-14,8
42,1982-01-28,Kansas City Kings,W,126,115,W 2,28-14,11
43,1982-02-02,Dallas Mavericks,W,103,98,W 3,29-14,5
44,1982-02-04,Phoenix Suns,W,118,112,W 4,30-14,6
45,1982-02-05,Kansas City Kings,L,102,109,L 1,30-15,-7
46,1982-02-07,Golden State Warriors,L,111,116,L 2,30-16,-5
47,1982-02-09,Washington Bullets,L,110,112,L 3,30-17,-2
48,1982-02-12,Los Angeles Lakers,W,100,94,W 1,31-17,6
49,1982-02-14,Seattle SuperSonics,W,114,94,W 2,32-17,20
50,1982-02-17,Detroit Pistons,W,126,112,W 3,33-17,14
51,1982-02-19,Denver Nuggets,W,126,121,W 4,34-17,5
52,1982-02-20,San Diego Clippers,L,101,118,L 1,34-18,-17
53,1982-02-23,Golden State Warriors,W,143,123,W 1,35-18,20
54,1982-02-25,Detroit Pistons,W,119,116,W 2,36-18,3
55,1982-02-26,Indiana Pacers,L,100,108,L 1,36-19,-8
56,1982-02-28,Chicago Bulls,L,104,118,L 2,36-20,-14
57,1982-03-02,Houston Rockets,W,119,117,W 1,37-20,2
58,1982-03-04,Boston Celtics,L,101,110,L 1,37-21,-9
59,1982-03-06,Milwaukee Bucks,W,171,166,W 1,38-21,5
60,1982-03-08,Dallas Mavericks,L,113,121,L 1,38-22,-8
61,1982-03-09,San Diego Clippers,L,127,138,L 2,38-23,-11
62,1982-03-12,Portland Trail Blazers,L,108,112,L 3,38-24,-4
63,1982-03-14,Chicago Bulls,W,119,117,W 1,39-24,2
64,1982-03-16,New York Knicks,W,114,91,W 2,40-24,23
65,1982-03-17,New Jersey Nets,L,90,93,L 1,40-25,-3
66,1982-03-19,Boston Celtics,L,110,134,L 2,40-26,-24
67,1982-03-20,Cleveland Cavaliers,W,115,102,W 1,41-26,13
68,1982-03-23,San Diego Clippers,W,106,98,W 2,42-26,8
69,1982-03-24,Denver Nuggets,L,115,129,L 1,42-27,-14
70,1982-03-26,Los Angeles Lakers,W,110,105,W 1,43-27,5
71,1982-03-27,Utah Jazz,W,114,110,W 2,44-27,4
72,1982-03-30,Golden State Warriors,L,107,113,L 1,44-28,-6
73,1982-04-01,Portland Trail Blazers,L,105,109,L 2,44-29,-4
74,1982-04-02,Seattle SuperSonics,L,86,111,L 3,44-30,-25
75,1982-04-04,Houston Rockets,L,93,95,L 4,44-31,-2
76,1982-04-07,Kansas City Kings,W,118,113,W 1,45-31,5
77,1982-04-10,Houston Rockets,L,100,105,L 1,45-32,-5
78,1982-04-11,Kansas City Kings,W,126,121,W 1,46-32,5
79,1982-04-13,Denver Nuggets,W,144,137,W 2,47-32,7
80,1982-04-14,Phoenix Suns,L,92,104,L 1,47-33,-12
81,1982-04-16,Dallas Mavericks,W,118,106,W 1,48-33,12
82,1982-04-18,Utah Jazz,L,120,128,L 1,48-34,-8
