G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,1999-02-05,Indiana Pacers,L,81,96,L 1,0-1,-15
2,1999-02-06,Toronto Raptors,W,98,97,W 1,1-1,1
3,1999-02-08,Detroit Pistons,L,103,106,L 1,1-2,-3
4,1999-02-10,New York Knicks,L,88,101,L 2,1-3,-13
5,1999-02-17,Orlando Magic,L,85,96,L 3,1-4,-11
6,1999-02-18,Toronto Raptors,W,95,88,W 1,2-4,7
7,1999-02-19,Chicago Bulls,W,93,91,W 2,3-4,2
8,1999-02-21,Boston Celtics,W,86,75,W 3,4-4,11
9,1999-02-23,Miami Heat,L,80,96,L 1,4-5,-16
10,1999-02-25,Sacramento Kings,L,105,115,L 2,4-6,-10
11,1999-02-27,Portland Trail Blazers,L,81,82,L 3,4-7,-1
12,1999-03-01,Philadelphia 76ers,L,91,104,L 4,4-8,-13
13,1999-03-02,Atlanta Hawks,W,97,77,W 1,5-8,20
14,1999-03-03,Indiana Pacers,L,95,106,L 1,5-9,-11
15,1999-03-05,Charlotte Hornets,W,86,85,W 1,6-9,1
16,1999-03-07,Philadelphia 76ers,W,103,95,W 2,7-9,8
17,1999-03-08,Detroit Pistons,L,71,75,L 1,7-10,-4
18,1999-03-10,Detroit Pistons,W,97,87,W 1,8-10,10
19,1999-03-11,New York Knicks,L,86,98,L 1,8-11,-12
20,1999-03-12,Charlotte Hornets,L,83,92,L 2,8-12,-9
21,1999-03-14,Milwaukee Bucks,W,98,86,W 1,9-12,12
22,1999-03-16,Miami Heat,L,85,94,L 1,9-13,-9
23,1999-03-18,Utah Jazz,L,87,95,L 2,9-14,-8
24,1999-03-20,Cleveland Cavaliers,W,113,83,W 1,10-14,30
25,1999-03-22,Indiana Pacers,L,86,90,L 1,10-15,-4
26,1999-03-24,Seattle SuperSonics,W,96,92,W 1,11-15,4
27,1999-03-26,Golden State Warriors,L,96,100,L 1,11-16,-4
28,1999-03-27,Denver Nuggets,W,112,100,W 1,12-16,12
29,1999-03-30,Milwaukee Bucks,L,105,107,L 1,12-17,-2
30,1999-03-31,Orlando Magic,W,84,73,W 1,13-17,11
31,1999-04-03,Toronto Raptors,L,85,87,L 1,13-18,-2
32,1999-04-04,Miami Heat,L,79,90,L 2,13-19,-11
33,1999-04-06,New Jersey Nets,L,93,97,L 3,13-20,-4
34,1999-04-07,Boston Celtics,L,87,108,L 4,13-21,-21
35,1999-04-09,Charlotte Hornets,L,88,90,L 5,13-22,-2
36,1999-04-11,Philadelphia 76ers,W,105,98,W 1,14-22,7
37,1999-04-13,Cleveland Cavaliers,L,77,86,L 1,14-23,-9
38,1999-04-14,New York Knicks,W,95,89,W 1,15-23,6
39,1999-04-16,Chicago Bulls,W,87,70,W 2,16-23,17
40,1999-04-18,Boston Celtics,L,98,101,L 1,16-24,-3
41,1999-04-20,Chicago Bulls,L,77,83,L 2,16-25,-6
42,1999-04-21,Toronto Raptors,L,91,107,L 3,16-26,-16
43,1999-04-23,Atlanta Hawks,L,78,89,L 4,16-27,-11
44,1999-04-25,Boston Celtics,L,84,113,L 5,16-28,-29
45,1999-04-26,Milwaukee Bucks,L,91,99,L 6,16-29,-8
46,1999-04-28,Orlando Magic,L,86,93,L 7,16-30,-7
47,1999-04-29,Cleveland Cavaliers,W,97,86,W 1,17-30,11
48,1999-05-01,New Jersey Nets,L,91,102,L 1,17-31,-11
49,1999-05-03,New Jersey Nets,W,113,102,W 1,18-31,11
50,1999-05-05,Atlanta Hawks,L,92,100,L 1,18-32,-8
