G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,1970-10-13,New York Knicks,L,107,114,L 1,0-1,-7
2,1970-10-15,Phoenix Suns,L,100,119,L 2,0-2,-19
3,1970-10-17,Seattle SuperSonics,L,114,126,L 3,0-3,-12
4,1970-10-18,Portland Trail Blazers,W,133,115,W 1,1-3,18
5,1970-10-21,Detroit Pistons,L,118,121,L 1,1-4,-3
6,1970-10-23,Cincinnati Royals,W,131,126,W 1,2-4,5
7,1970-10-24,Atlanta Hawks,W,113,109,W 2,3-4,4
8,1970-10-28,New York Knicks,L,89,126,L 1,3-5,-37
9,1970-10-30,Phoenix Suns,W,127,112,W 1,4-5,15
10,1970-10-31,Philadelphia 76ers,W,133,102,W 2,5-5,31
11,1970-11-04,Philadelphia 76ers,W,115,113,W 3,6-5,2
12,1970-11-06,Seattle SuperSonics,W,116,94,W 4,7-5,22
13,1970-11-07,Cincinnati Royals,W,140,122,W 5,8-5,18
14,1970-11-11,Milwaukee Bucks,L,113,123,L 1,8-6,-10
15,1970-11-13,Atlanta Hawks,L,114,116,L 2,8-7,-2
16,1970-11-14,Baltimore Bullets,L,101,122,L 3,8-8,-21
17,1970-11-18,San Francisco Warriors,L,89,90,L 4,8-9,-1
18,1970-11-20,Cleveland Cavaliers,W,116,112,W 1,9-9,4
19,1970-11-21,Chicago Bulls,L,107,110,L 1,9-10,-3
20,1970-11-25,Portland Trail Blazers,W,122,115,W 1,10-10,7
21,1970-11-27,Baltimore Bullets,W,153,107,W 2,11-10,46
22,1970-11-28,Detroit Pistons,W,121,98,W 3,12-10,23
23,1970-11-30,Buffalo Braves,W,109,106,W 4,13-10,3
24,1970-12-01,Buffalo Braves,W,117,116,W 5,14-10,1
25,1970-12-02,Los Angeles Lakers,W,114,111,W 6,15-10,3
26,1970-12-04,Cleveland Cavaliers,W,118,107,W 7,16-10,11
27,1970-12-05,Chicago Bulls,W,101,97,W 8,17-10,4
28,1970-12-08,Buffalo Braves,W,122,102,W 9,18-10,20
29,1970-12-09,Seattle SuperSonics,W,136,121,W 10,19-10,15
30,1970-12-11,Detroit Pistons,L,118,121,L 1,19-11,-3
31,1970-12-17,Buffalo Braves,W,102,93,W 1,20-11,9
32,1970-12-18,Milwaukee Bucks,L,114,124,L 1,20-12,-10
33,1970-12-19,Baltimore Bullets,L,128,134,L 2,20-13,-6
34,1970-12-22,San Francisco Warriors,W,138,108,W 1,21-13,30
35,1970-12-25,Los Angeles Lakers,L,113,123,L 1,21-14,-10
36,1970-12-26,Seattle SuperSonics,L,117,124,L 2,21-15,-7
37,1970-12-27,Portland Trail Blazers,L,123,135,L 3,21-16,-12
38,1970-12-29,San Diego Rockets,W,110,108,W 1,22-16,2
39,1970-12-31,San Francisco Warriors,L,106,144,L 1,22-17,-38
40,1971-01-02,Philadelphia 76ers,W,125,120,W 1,23-17,5
41,1971-01-03,Atlanta Hawks,W,140,128,W 2,24-17,12
42,1971-01-05,Portland Trail Blazers,L,120,124,L 1,24-18,-4
43,1971-01-06,Seattle SuperSonics,W,137,112,W 1,25-18,25
44,1971-01-08,Phoenix Suns,W,122,114,W 2,26-18,8
45,1971-01-10,Philadelphia 76ers,L,107,115,L 1,26-19,-8
46,1971-01-15,Atlanta Hawks,W,134,123,W 1,27-19,11
47,1971-01-16,Detroit Pistons,L,118,121,L 1,27-20,-3
48,1971-01-17,Milwaukee Bucks,L,113,120,L 2,27-21,-7
49,1971-01-20,San Diego Rockets,W,142,112,W 1,28-21,30
50,1971-01-22,Baltimore Bullets,L,117,136,L 1,28-22,-19
51,1971-01-23,New York Knicks,L,107,128,L 2,28-23,-21
52,1971-01-24,Cleveland Cavaliers,W,121,110,W 1,29-23,11
53,1971-01-25,Cleveland Cavaliers,L,116,117,L 1,29-24,-1
54,1971-01-27,Milwaukee Bucks,L,129,132,L 2,29-25,-3
55,1971-01-29,New York Knicks,L,111,118,L 3,29-26,-7
56,1971-01-31,Philadelphia 76ers,W,132,126,W 1,30-26,6
57,1971-02-02,Philadelphia 76ers,L,105,108,L 1,30-27,-3
58,1971-02-03,Cincinnati Royals,L,115,134,L 2,30-28,-19
59,1971-02-05,Cincinnati Royals,W,114,110,W 1,31-28,4
60,1971-02-07,Chicago Bulls,W,104,96,W 2,32-28,8
61,1971-02-09,Chicago Bulls,W,90,88,W 3,33-28,2
62,1971-02-10,Atlanta Hawks,L,102,114,L 1,33-29,-12
63,1971-02-12,Baltimore Bullets,W,113,109,W 1,34-29,4
64,1971-02-14,Detroit Pistons,W,110,108,W 2,35-29,2
65,1971-02-16,Phoenix Suns,L,116,119,L 1,35-30,-3
66,1971-02-17,San Francisco Warriors,W,129,99,W 1,36-30,30
67,1971-02-19,Phoenix Suns,L,112,116,L 1,36-31,-4
68,1971-02-20,San Diego Rockets,L,118,128,L 2,36-32,-10
69,1971-02-21,Los Angeles Lakers,L,116,124,L 3,36-33,-8
70,1971-02-24,Los Angeles Lakers,W,116,96,W 1,37-33,20
71,1971-02-26,Atlanta Hawks,W,136,129,W 2,38-33,7
72,1971-02-28,Milwaukee Bucks,L,99,111,L 1,38-34,-12
73,1971-03-03,San Diego Rockets,W,128,113,W 1,39-34,15
74,1971-03-06,New York Knicks,L,104,112,L 1,39-35,-8
75,1971-03-07,New York Knicks,L,110,116,L 2,39-36,-6
76,1971-03-09,San Francisco Warriors,W,134,112,W 1,40-36,22
77,1971-03-11,San Diego Rockets,L,91,115,L 1,40-37,-24
78,1971-03-12,Cincinnati Royals,L,108,124,L 2,40-38,-16
79,1971-03-14,Chicago Bulls,W,117,104,W 1,41-38,13
80,1971-03-17,Los Angeles Lakers,W,112,104,W 2,42-38,8
81,1971-03-19,Baltimore Bullets,W,125,117,W 3,43-38,8
82,1971-03-21,Cincinnati Royals,W,135,110,W 4,44-38,25
