G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,2013-10-30,Milwaukee Bucks,W,90,83,W 1,1-0,7
2,2013-10-31,Chicago Bulls,L,81,82,L 1,1-1,-1
3,2013-11-03,Minnesota Timberwolves,L,100,109,L 2,1-2,-9
4,2013-11-05,Charlotte Bobcats,L,97,102,L 3,1-3,-5
5,2013-11-08,Charlotte Bobcats,W,101,91,W 1,2-3,10
6,2013-11-10,San Antonio Spurs,L,89,120,L 1,2-4,-31
7,2013-11-13,Atlanta Hawks,W,95,91,W 1,3-4,4
8,2013-11-14,Houston Rockets,L,106,109,L 1,3-5,-3
9,2013-11-16,Atlanta Hawks,L,90,110,L 2,3-6,-20
10,2013-11-19,Detroit Pistons,L,86,92,L 3,3-7,-6
11,2013-11-20,Indiana Pacers,L,96,103,L 4,3-8,-7
12,2013-11-23,Washington Wizards,L,89,98,L 5,3-9,-9
13,2013-11-25,Portland Trail Blazers,L,91,102,L 6,3-10,-11
14,2013-11-27,Los Angeles Clippers,L,80,93,L 7,3-11,-13
15,2013-11-29,Denver Nuggets,L,95,97,L 8,3-12,-2
16,2013-12-01,New Orleans Pelicans,L,99,103,L 9,3-13,-4
17,2013-12-05,Brooklyn Nets,W,113,83,W 1,4-13,30
18,2013-12-06,Orlando Magic,W,121,83,W 2,5-13,38
19,2013-12-08,Boston Celtics,L,73,114,L 1,5-14,-41
20,2013-12-10,Cleveland Cavaliers,L,94,109,L 2,5-15,-15
21,2013-12-11,Chicago Bulls,W,83,78,W 1,6-15,5
22,2013-12-13,Boston Celtics,L,86,90,L 1,6-16,-4
23,2013-12-14,Atlanta Hawks,W,111,106,W 1,7-16,5
24,2013-12-16,Washington Wizards,L,101,102,L 1,7-17,-1
25,2013-12-18,Milwaukee Bucks,W,107,101,W 1,8-17,6
26,2013-12-21,Memphis Grizzlies,L,87,95,L 1,8-18,-8
27,2013-12-23,Orlando Magic,W,103,98,W 1,9-18,5
28,2013-12-25,Oklahoma City Thunder,L,94,123,L 1,9-19,-29
29,2013-12-27,Toronto Raptors,L,83,95,L 2,9-20,-12
30,2013-12-28,Toronto Raptors,L,100,115,L 3,9-21,-15
31,2014-01-02,San Antonio Spurs,W,105,101,W 1,10-21,4
32,2014-01-03,Houston Rockets,L,100,102,L 1,10-22,-2
33,2014-01-05,Dallas Mavericks,W,92,80,W 1,11-22,12
34,2014-01-07,Detroit Pistons,W,89,85,W 2,12-22,4
35,2014-01-09,Miami Heat,W,102,92,W 3,13-22,10
36,2014-01-11,Philadelphia 76ers,W,102,92,W 4,14-22,10
37,2014-01-13,Phoenix Suns,W,98,96,W 5,15-22,2
38,2014-01-14,Charlotte Bobcats,L,98,108,L 1,15-23,-10
39,2014-01-16,Indiana Pacers,L,89,117,L 2,15-24,-28
40,2014-01-17,Los Angeles Clippers,L,95,109,L 3,15-25,-14
41,2014-01-20,Brooklyn Nets,L,80,103,L 4,15-26,-23
42,2014-01-22,Philadelphia 76ers,L,106,110,L 5,15-27,-4
43,2014-01-24,Charlotte Bobcats,W,125,96,W 1,16-27,29
44,2014-01-26,Los Angeles Lakers,W,110,103,W 2,17-27,7
45,2014-01-28,Boston Celtics,W,114,88,W 3,18-27,26
46,2014-01-30,Cleveland Cavaliers,W,117,86,W 4,19-27,31
47,2014-02-01,Miami Heat,L,91,106,L 1,19-28,-15
48,2014-02-03,Milwaukee Bucks,L,98,101,L 2,19-29,-3
49,2014-02-05,Portland Trail Blazers,L,90,94,L 3,19-30,-4
50,2014-02-07,Denver Nuggets,W,117,90,W 1,20-30,27
