G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,2000-11-01,Detroit Pistons,W,103,83,W 1,1-0,20
2,2000-11-03,Toronto Raptors,W,93,91,W 2,2-0,2
3,2000-11-04,Cleveland Cavaliers,L,89,91,L 1,2-1,-2
4,2000-11-07,Toronto Raptors,L,75,105,L 2,2-2,-30
5,2000-11-10,New York Knicks,L,101,103,L 3,2-3,-2
6,2000-11-11,Philadelphia 76ers,L,83,85,L 4,2-4,-2
7,2000-11-15,Washington Wizards,W,116,109,W 1,3-4,7
8,2000-11-17,Atlanta Hawks,W,106,99,W 2,4-4,7
9,2000-11-18,Washington Wizards,L,89,109,L 1,4-5,-20
10,2000-11-20,Philadelphia 76ers,L,90,114,L 2,4-6,-24
11,2000-11-22,Houston Rockets,W,96,81,W 1,5-6,15
12,2000-11-24,Orlando Magic,W,103,98,W 2,6-6,5
13,2000-11-26,Vancouver Grizzlies,L,87,98,L 1,6-7,-11
14,2000-11-28,Cleveland Cavaliers,W,87,72,W 1,7-7,15
15,2000-11-30,Milwaukee Bucks,L,97,108,L 1,7-8,-11
16,2000-12-01,Minnesota Timberwolves,L,98,102,L 2,7-9,-4
17,2000-12-03,Los Angeles Clippers,W,96,87,W 1,8-9,9
18,2000-12-05,Orlando Magic,L,98,101,L 1,8-10,-3
19,2000-12-08,Indiana Pacers,L,91,104,L 2,8-11,-13
20,2000-12-10,Denver Nuggets,W,104,102,W 1,9-11,2
21,2000-12-13,Chicago Bulls,L,86,104,L 1,9-12,-18
22,2000-12-15,Sacramento Kings,L,81,104,L 2,9-13,-23
23,2000-12-16,Charlotte Hornets,L,87,99,L 3,9-14,-12
24,2000-12-18,Dallas Mavericks,L,98,106,L 4,9-15,-8
25,2000-12-20,New Jersey Nets,W,99,86,W 1,10-15,13
26,2000-12-21,New York Knicks,W,92,86,W 2,11-15,6
27,2000-12-23,Milwaukee Bucks,L,99,104,L 1,11-16,-5
28,2000-12-26,Detroit Pistons,L,96,101,L 2,11-17,-5
