G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,2012-11-01,San Antonio Spurs,L,84,86,L 1,0-1,-2
2,2012-11-02,Portland Trail Blazers,W,106,92,W 1,1-1,14
3,2012-11-04,Atlanta Hawks,L,95,104,L 1,1-2,-9
4,2012-11-06,Toronto Raptors,W,108,88,W 1,2-2,20
5,2012-11-08,Chicago Bulls,W,97,91,W 2,3-2,6
6,2012-11-09,Detroit Pistons,W,105,94,W 3,4-2,11
7,2012-11-11,Cleveland Cavaliers,W,106,91,W 4,5-2,15
8,2012-11-12,Detroit Pistons,W,92,90,W 5,6-2,2
9,2012-11-14,Memphis Grizzlies,L,97,107,L 1,6-3,-10
10,2012-11-16,New Orleans Hornets,W,110,95,W 1,7-3,15
11,2012-11-18,Golden State Warriors,W,119,109,W 2,8-3,10
12,2012-11-21,Los Angeles Clippers,W,117,111,W 3,9-3,6
13,2012-11-23,Boston Celtics,L,100,108,L 1,9-4,-8
14,2012-11-24,Philadelphia 76ers,W,116,109,W 1,10-4,7
15,2012-11-26,Charlotte Bobcats,W,114,69,W 2,11-4,45
16,2012-11-28,Houston Rockets,W,120,98,W 3,12-4,22
17,2012-11-30,Utah Jazz,W,106,94,W 4,13-4,12
18,2012-12-01,New Orleans Hornets,W,100,79,W 5,14-4,21
19,2012-12-04,Brooklyn Nets,W,117,111,W 6,15-4,6
20,2012-12-07,Los Angeles Lakers,W,114,108,W 7,16-4,6
21,2012-12-09,Indiana Pacers,W,104,93,W 8,17-4,11
22,2012-12-12,New Orleans Hornets,W,92,88,W 9,18-4,4
23,2012-12-14,Sacramento Kings,W,113,103,W 10,19-4,10
24,2012-12-17,San Antonio Spurs,W,107,93,W 11,20-4,14
25,2012-12-19,Atlanta Hawks,W,100,92,W 12,21-4,8
26,2012-12-20,Minnesota Timberwolves,L,93,99,L 1,21-5,-6
27,2012-12-25,Miami Heat,L,97,103,L 2,21-6,-6
28,2012-12-27,Dallas Mavericks,W,111,105,W 1,22-6,6
29,2012-12-29,Houston Rockets,W,124,94,W 2,23-6,30
30,2012-12-31,Phoenix Suns,W,114,96,W 3,24-6,18
31,2013-01-02,Brooklyn Nets,L,93,110,L 1,24-7,-17
32,2013-01-04,Philadelphia 76ers,W,109,85,W 1,25-7,24
33,2013-01-06,Toronto Raptors,W,104,92,W 2,26-7,12
34,2013-01-07,Washington Wizards,L,99,101,L 1,26-8,-2
35,2013-01-09,Minnesota Timberwolves,W,106,84,W 1,27-8,22
36,2013-01-11,Los Angeles Lakers,W,116,101,W 2,28-8,15
37,2013-01-13,Portland Trail Blazers,W,87,83,W 3,29-8,4
38,2013-01-14,Phoenix Suns,W,102,90,W 4,30-8,12
39,2013-01-16,Denver Nuggets,W,117,97,W 5,31-8,20
40,2013-01-18,Dallas Mavericks,W,117,114,W 6,32-8,3
41,2013-01-20,Denver Nuggets,L,118,121,L 1,32-9,-3
42,2013-01-22,Los Angeles Clippers,W,109,97,W 1,33-9,12
43,2013-01-23,Golden State Warriors,L,99,104,L 1,33-10,-5
44,2013-01-25,Sacramento Kings,W,105,95,W 1,34-10,10
45,2013-01-27,Los Angeles Lakers,L,96,105,L 1,34-11,-9
46,2013-01-31,Memphis Grizzlies,W,106,89,W 1,35-11,17
47,2013-02-02,Cleveland Cavaliers,L,110,115,L 1,35-12,-5
48,2013-02-04,Dallas Mavericks,W,112,91,W 1,36-12,21
49,2013-02-06,Golden State Warriors,W,119,98,W 2,37-12,21
50,2013-02-08,Phoenix Suns,W,127,96,W 3,38-12,31
51,2013-02-10,Phoenix Suns,W,97,69,W 4,39-12,28
52,2013-02-12,Utah Jazz,L,94,109,L 1,39-13,-15
53,2013-02-14,Miami Heat,L,100,110,L 2,39-14,-10
54,2013-02-20,Houston Rockets,L,119,122,L 3,39-15,-3
55,2013-02-22,Minnesota Timberwolves,W,127,111,W 1,40-15,16
56,2013-02-24,Chicago Bulls,W,102,72,W 2,41-15,30
57,2013-02-27,New Orleans Hornets,W,119,74,W 3,42-15,45
58,2013-03-01,Denver Nuggets,L,103,105,L 1,42-16,-2
59,2013-03-03,Los Angeles Clippers,W,108,104,W 1,43-16,4
