G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,2012-10-31,Los Angeles Clippers,L,92,101,L 1,0-1,-9
2,2012-11-02,Golden State Warriors,W,104,94,W 1,1-1,10
3,2012-11-05,Utah Jazz,W,103,94,W 2,2-1,9
4,2012-11-07,Milwaukee Bucks,W,108,90,W 3,3-1,18
5,2012-11-09,Houston Rockets,W,93,85,W 4,4-1,8
6,2012-11-11,Miami Heat,W,104,86,W 5,5-1,18
7,2012-11-14,Oklahoma City Thunder,W,107,97,W 6,6-1,10
8,2012-11-16,New York Knicks,W,105,95,W 7,7-1,10
9,2012-11-17,Charlotte Bobcats,W,94,87,W 8,8-1,7
10,2012-11-19,Denver Nuggets,L,92,97,L 1,8-2,-5
11,2012-11-23,Los Angeles Lakers,W,106,98,W 1,9-2,8
12,2012-11-26,Cleveland Cavaliers,W,84,78,W 2,10-2,6
13,2012-11-28,Toronto Raptors,W,103,82,W 3,11-2,21
14,2012-11-30,Detroit Pistons,W,90,78,W 4,12-2,12
15,2012-12-01,San Antonio Spurs,L,95,99,L 1,12-3,-4
16,2012-12-04,Phoenix Suns,W,108,98,W 1,13-3,10
17,2012-12-07,New Orleans Hornets,W,96,89,W 2,14-3,7
18,2012-12-08,Atlanta Hawks,L,83,93,L 1,14-4,-10
19,2012-12-12,Phoenix Suns,L,80,82,L 2,14-5,-2
20,2012-12-14,Denver Nuggets,L,94,99,L 3,14-6,-5
21,2012-12-15,Utah Jazz,W,99,86,W 1,15-6,13
22,2012-12-17,Chicago Bulls,W,80,71,W 2,16-6,9
23,2012-12-19,Milwaukee Bucks,W,90,80,W 3,17-6,10
24,2012-12-21,Dallas Mavericks,W,92,82,W 4,18-6,10
25,2012-12-22,Houston Rockets,L,96,121,L 1,18-7,-25
26,2012-12-26,Philadelphia 76ers,L,89,99,L 2,18-8,-10
27,2012-12-29,Denver Nuggets,W,81,72,W 1,19-8,9
28,2012-12-31,Indiana Pacers,L,83,88,L 1,19-9,-5
29,2013-01-02,Boston Celtics,W,93,83,W 1,20-9,10
30,2013-01-04,Portland Trail Blazers,L,84,86,L 1,20-10,-2
31,2013-01-06,Phoenix Suns,W,92,81,W 1,21-10,11
32,2013-01-07,Sacramento Kings,W,113,81,W 2,22-10,32
33,2013-01-09,Golden State Warriors,W,94,87,W 3,23-10,7
34,2013-01-11,San Antonio Spurs,W,101,98,W 4,24-10,3
35,2013-01-12,Dallas Mavericks,L,83,104,L 1,24-11,-21
36,2013-01-14,Los Angeles Clippers,L,73,99,L 2,24-12,-26
