G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,2009-10-28,Oklahoma City Thunder,L,89,102,L 1,0-1,-13
2,2009-10-30,New Orleans Hornets,L,92,97,L 2,0-2,-5
3,2009-10-31,San Antonio Spurs,L,94,113,L 3,0-3,-19
4,2009-11-02,Memphis Grizzlies,W,127,116,W 1,1-3,11
5,2009-11-04,Atlanta Hawks,L,105,113,L 1,1-4,-8
6,2009-11-07,Utah Jazz,W,104,99,W 1,2-4,5
7,2009-11-08,Golden State Warriors,W,120,107,W 2,3-4,13
8,2009-11-10,Oklahoma City Thunder,W,101,98,W 3,4-4,3
9,2009-11-13,Houston Rockets,W,109,100,W 4,5-4,9
10,2009-11-17,Chicago Bulls,L,87,101,L 1,5-5,-14
11,2009-11-20,Dallas Mavericks,L,102,104,L 2,5-6,-2
12,2009-11-21,Houston Rockets,L,106,113,L 3,5-7,-7
13,2009-11-23,Memphis Grizzlies,L,105,116,L 4,5-8,-11
14,2009-11-25,New York Knicks,W,111,97,W 1,6-8,14
15,2009-11-27,New Jersey Nets,W,109,96,W 2,7-8,13
16,2009-11-29,New Orleans Hornets,W,112,96,W 3,8-8,16
17,2009-12-02,Indiana Pacers,W,110,105,W 4,9-8,5
18,2009-12-05,Phoenix Suns,L,107,115,L 1,9-9,-8
19,2009-12-06,Miami Heat,L,102,115,L 2,9-10,-13
20,2009-12-08,New Orleans Hornets,L,94,96,L 3,9-11,-2
21,2009-12-09,San Antonio Spurs,L,106,118,L 4,9-12,-12
22,2009-12-12,Minnesota Timberwolves,W,120,100,W 1,10-12,20
23,2009-12-15,Portland Trail Blazers,L,88,95,L 1,10-13,-7
24,2009-12-16,Washington Wizards,W,112,109,W 1,11-13,3
25,2009-12-18,Minnesota Timberwolves,L,96,112,L 1,11-14,-16
26,2009-12-19,Milwaukee Bucks,W,96,95,W 1,12-14,1
27,2009-12-21,Chicago Bulls,W,102,98,W 2,13-14,4
28,2009-12-23,Cleveland Cavaliers,L,104,117,L 1,13-15,-13
29,2009-12-26,Los Angeles Lakers,L,103,112,L 2,13-16,-9
30,2009-12-28,Denver Nuggets,W,106,101,W 1,14-16,5
31,2009-12-30,Philadelphia 76ers,L,106,116,L 1,14-17,-10
32,2010-01-01,Los Angeles Lakers,L,108,109,L 2,14-18,-1
33,2010-01-02,Dallas Mavericks,L,91,99,L 3,14-19,-8
34,2010-01-05,Phoenix Suns,L,109,113,L 4,14-20,-4
35,2010-01-08,Golden State Warriors,L,101,108,L 5,14-21,-7
