G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,1984-10-26,Cleveland Cavaliers,W,111,101,W 1,1-0,10
2,1984-10-27,Atlanta Hawks,W,111,108,W 2,2-0,3
3,1984-10-30,New Jersey Nets,W,118,96,W 3,3-0,22
4,1984-11-02,Dallas Mavericks,W,107,103,W 4,4-0,4
5,1984-11-07,Indiana Pacers,W,134,113,W 5,5-0,21
6,1984-11-09,Boston Celtics,L,119,130,L 1,5-1,-11
7,1984-11-14,Detroit Pistons,L,133,137,L 2,5-2,-4
8,1984-11-16,Detroit Pistons,W,101,90,W 1,6-2,11
9,1984-11-17,Chicago Bulls,W,109,100,W 2,7-2,9
10,1984-11-20,Washington Bullets,L,105,120,L 1,7-3,-15
11,1984-11-21,Indiana Pacers,W,112,107,W 1,8-3,5
12,1984-11-23,Phoenix Suns,W,119,117,W 2,9-3,2
13,1984-11-24,Denver Nuggets,L,110,114,L 1,9-4,-4
14,1984-11-27,Washington Bullets,W,93,89,W 1,10-4,4
15,1984-11-28,Indiana Pacers,W,122,101,W 2,11-4,21
16,1984-11-30,Portland Trail Blazers,W,126,116,W 3,12-4,10
17,1984-12-02,New Jersey Nets,W,114,112,W 4,13-4,2
18,1984-12-05,Milwaukee Bucks,W,112,111,W 5,14-4,1
19,1984-12-07,Los Angeles Lakers,W,122,116,W 6,15-4,6
20,1984-12-09,New York Knicks,W,110,94,W 7,16-4,16
21,1984-12-11,New York Knicks,L,106,110,L 1,16-5,-4
22,1984-12-12,Boston Celtics,W,110,107,W 1,17-5,3
23,1984-12-14,Milwaukee Bucks,W,115,111,W 2,18-5,4
24,1984-12-15,Chicago Bulls,W,114,102,W 3,19-5,12
25,1984-12-19,San Antonio Spurs,W,123,118,W 4,20-5,5
26,1984-12-21,Milwaukee Bucks,L,101,104,L 1,20-6,-3
27,1984-12-22,New Jersey Nets,W,107,93,W 1,21-6,14
28,1984-12-25,Detroit Pistons,W,109,108,W 2,22-6,1
29,1984-12-28,Utah Jazz,W,114,111,W 3,23-6,3
30,1984-12-29,Golden State Warriors,W,109,95,W 4,24-6,14
31,1985-01-01,Portland Trail Blazers,W,111,106,W 5,25-6,5
32,1985-01-02,Seattle SuperSonics,W,118,109,W 6,26-6,9
33,1985-01-05,Milwaukee Bucks,W,110,106,W 7,27-6,4
34,1985-01-07,Phoenix Suns,W,100,99,W 8,28-6,1
35,1985-01-09,Detroit Pistons,W,126,122,W 9,29-6,4
36,1985-01-11,Houston Rockets,W,115,108,W 10,30-6,7
37,1985-01-13,Washington Bullets,W,115,104,W 11,31-6,11
38,1985-01-15,New York Knicks,W,93,82,W 12,32-6,11
39,1985-01-16,Atlanta Hawks,W,122,99,W 13,33-6,23
40,1985-01-20,Boston Celtics,L,97,113,L 1,33-7,-16
41,1985-01-22,Cleveland Cavaliers,W,101,100,W 1,34-7,1
42,1985-01-25,Los Angeles Lakers,L,104,109,L 1,34-8,-5
43,1985-01-26,Los Angeles Clippers,W,120,113,W 1,35-8,7
44,1985-01-28,Dallas Mavericks,L,109,111,L 1,35-9,-2
45,1985-01-30,Boston Celtics,W,122,104,W 1,36-9,18
46,1985-02-01,Chicago Bulls,W,121,110,W 2,37-9,11
47,1985-02-02,New Jersey Nets,L,96,101,L 1,37-10,-5
48,1985-02-04,Atlanta Hawks,W,106,92,W 1,38-10,14
49,1985-02-06,Washington Bullets,W,116,111,W 2,39-10,5
50,1985-02-12,Indiana Pacers,W,124,116,W 3,40-10,8
51,1985-02-13,New York Knicks,W,131,129,W 4,41-10,2
52,1985-02-15,Cleveland Cavaliers,L,107,112,L 1,41-11,-5
53,1985-02-16,Detroit Pistons,W,125,114,W 1,42-11,11
54,1985-02-18,Cleveland Cavaliers,L,113,120,L 1,42-12,-7
55,1985-02-20,Golden State Warriors,W,137,116,W 1,43-12,21
56,1985-02-22,Detroit Pistons,W,110,99,W 2,44-12,11
57,1985-02-24,Utah Jazz,W,117,108,W 3,45-12,9
58,1985-02-26,Milwaukee Bucks,L,97,116,L 1,45-13,-19
59,1985-02-28,Kansas City Kings,W,127,119,W 1,46-13,8
60,1985-03-03,Houston Rockets,L,90,99,L 1,46-14,-9
61,1985-03-04,San Antonio Spurs,L,103,109,L 2,46-15,-6
62,1985-03-06,Atlanta Hawks,W,96,86,W 1,47-15,10
63,1985-03-08,Seattle SuperSonics,W,128,114,W 2,48-15,14
64,1985-03-09,New York Knicks,L,129,131,L 1,48-16,-2
65,1985-03-13,Los Angeles Clippers,W,121,103,W 1,49-16,18
66,1985-03-15,New York Knicks,W,119,110,W 2,50-16,9
67,1985-03-16,New Jersey Nets,W,127,107,W 3,51-16,20
68,1985-03-19,Cleveland Cavaliers,L,89,116,L 1,51-17,-27
69,1985-03-20,Kansas City Kings,L,117,118,L 2,51-18,-1
70,1985-03-22,Milwaukee Bucks,L,112,131,L 3,51-19,-19
71,1985-03-24,Denver Nuggets,W,124,103,W 1,52-19,21
72,1985-03-27,Washington Bullets,W,115,97,W 2,53-19,18
73,1985-03-29,Boston Celtics,L,108,112,L 1,53-20,-4
74,1985-03-30,Chicago Bulls,W,122,117,W 1,54-20,5
75,1985-04-02,Atlanta Hawks,W,102,91,W 2,55-20,11
76,1985-04-03,Cleveland Cavaliers,L,110,113,L 1,55-21,-3
77,1985-04-05,Chicago Bulls,W,116,113,W 1,56-21,3
