G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,1981-10-30,Milwaukee Bucks,W,118,113,W 1,1-0,5
2,1981-10-31,Chicago Bulls,W,119,106,W 2,2-0,13
3,1981-11-05,New Jersey Nets,W,109,103,W 3,3-0,6
4,1981-11-06,Washington Bullets,L,82,86,L 1,3-1,-4
5,1981-11-07,Boston Celtics,L,88,129,L 2,3-2,-41
6,1981-11-10,Philadelphia 76ers,L,93,95,L 3,3-3,-2
7,1981-11-12,Cleveland Cavaliers,W,130,99,W 1,4-3,31
8,1981-11-14,Atlanta Hawks,W,117,104,W 2,5-3,13
9,1981-11-18,Cleveland Cavaliers,L,103,110,L 1,5-4,-7
10,1981-11-19,Washington Bullets,W,122,97,W 1,6-4,25
11,1981-11-21,Utah Jazz,W,95,86,W 2,7-4,9
12,1981-11-24,Milwaukee Bucks,L,95,103,L 1,7-5,-8
13,1981-11-25,Kansas City Kings,W,129,122,W 1,8-5,7
14,1981-11-27,Atlanta Hawks,L,112,114,L 1,8-6,-2
15,1981-11-28,Philadelphia 76ers,L,103,116,L 2,8-7,-13
16,1981-12-01,New York Knicks,L,100,112,L 3,8-8,-12
17,1981-12-02,Boston Celtics,L,114,115,L 4,8-9,-1
18,1981-12-04,Indiana Pacers,L,95,105,L 5,8-10,-10
19,1981-12-05,Milwaukee Bucks,L,108,111,L 6,8-11,-3
20,1981-12-10,New York Knicks,L,101,106,L 7,8-12,-5
21,1981-12-12,Seattle SuperSonics,L,111,117,L 8,8-13,-6
22,1981-12-13,Portland Trail Blazers,L,99,105,L 9,8-14,-6
23,1981-12-15,Golden State Warriors,W,108,104,W 1,9-14,4
24,1981-12-17,Indiana Pacers,L,96,100,L 1,9-15,-4
25,1981-12-19,New York Knicks,W,132,104,W 1,10-15,28
26,1981-12-22,Dallas Mavericks,W,106,98,W 2,11-15,8
27,1981-12-23,Denver Nuggets,W,124,119,W 3,12-15,5
28,1981-12-26,Chicago Bulls,W,96,94,W 4,13-15,2
29,1981-12-29,Washington Bullets,L,125,129,L 1,13-16,-4
30,1981-12-30,New Jersey Nets,L,119,130,L 2,13-17,-11
31,1982-01-02,New York Knicks,L,108,121,L 3,13-18,-13
32,1982-01-05,Philadelphia 76ers,W,124,101,W 1,14-18,23
33,1982-01-07,Phoenix Suns,L,94,110,L 1,14-19,-16
34,1982-01-09,Los Angeles Lakers,L,127,130,L 2,14-20,-3
35,1982-01-10,Boston Celtics,L,124,134,L 3,14-21,-10
36,1982-01-12,Chicago Bulls,W,122,111,W 1,15-21,11
37,1982-01-14,Washington Bullets,L,114,121,L 1,15-22,-7
38,1982-01-16,Boston Celtics,L,120,128,L 2,15-23,-8
39,1982-01-17,Milwaukee Bucks,W,108,103,W 1,16-23,5
40,1982-01-19,Utah Jazz,L,117,123,L 1,16-24,-6
41,1982-01-21,San Diego Clippers,W,120,110,W 1,17-24,10
42,1982-01-22,Los Angeles Lakers,L,111,123,L 1,17-25,-12
43,1982-01-23,Phoenix Suns,L,90,113,L 2,17-26,-23
44,1982-01-27,Atlanta Hawks,W,108,107,W 1,18-26,1
45,1982-02-02,Atlanta Hawks,W,106,105,W 2,19-26,1
46,1982-02-05,Chicago Bulls,W,110,103,W 3,20-26,7
47,1982-02-06,New Jersey Nets,L,120,125,L 1,20-27,-5
48,1982-02-09,Chicago Bulls,W,128,123,W 1,21-27,5
49,1982-02-10,New Jersey Nets,L,108,115,L 1,21-28,-7
50,1982-02-11,Cleveland Cavaliers,W,123,113,W 1,22-28,10
51,1982-02-13,Portland Trail Blazers,L,120,128,L 1,22-29,-8
52,1982-02-16,Houston Rockets,W,111,109,W 1,23-29,2
53,1982-02-17,San Antonio Spurs,L,112,126,L 1,23-30,-14
54,1982-02-20,Indiana Pacers,W,115,100,W 1,24-30,15
55,1982-02-25,San Antonio Spurs,L,116,119,L 1,24-31,-3
56,1982-02-27,Kansas City Kings,W,127,119,W 1,25-31,8
57,1982-02-28,Indiana Pacers,L,101,112,L 1,25-32,-11
58,1982-03-02,Milwaukee Bucks,L,91,101,L 2,25-33,-10
59,1982-03-04,Chicago Bulls,W,122,97,W 1,26-33,25
60,1982-03-06,New York Knicks,W,115,111,W 2,27-33,4
61,1982-03-08,Boston Celtics,L,101,111,L 1,27-34,-10
62,1982-03-10,Denver Nuggets,L,113,124,L 2,27-35,-11
63,1982-03-12,Golden State Warriors,W,121,117,W 1,28-35,4
64,1982-03-14,Cleveland Cavaliers,W,109,103,W 2,29-35,6
