G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,2009-10-28,Philadelphia 76ers,W,120,106,W 1,1-0,14
2,2009-10-30,New Jersey Nets,W,95,85,W 2,2-0,10
3,2009-11-01,Toronto Raptors,W,125,116,W 3,3-0,9
4,2009-11-03,Detroit Pistons,L,80,85,L 1,3-1,-5
5,2009-11-04,Phoenix Suns,W,122,100,W 1,4-1,22
6,2009-11-06,Detroit Pistons,W,110,103,W 2,5-1,7
7,2009-11-08,Oklahoma City Thunder,L,74,102,L 1,5-2,-28
8,2009-11-10,Charlotte Bobcats,W,93,81,W 1,6-2,12
9,2009-11-11,Cleveland Cavaliers,L,93,102,L 1,6-3,-9
10,2009-11-13,New Jersey Nets,W,88,72,W 1,7-3,16
11,2009-11-16,Charlotte Bobcats,W,97,91,W 2,8-3,6
12,2009-11-18,Oklahoma City Thunder,W,108,94,W 3,9-3,14
13,2009-11-20,Boston Celtics,W,83,78,W 4,10-3,5
14,2009-11-22,Toronto Raptors,W,104,96,W 5,11-3,8
15,2009-11-25,Miami Heat,L,98,99,L 1,11-4,-1
16,2009-11-26,Atlanta Hawks,W,93,76,W 1,12-4,17
17,2009-11-28,Milwaukee Bucks,W,100,98,W 2,13-4,2
18,2009-11-29,New York Knicks,W,114,102,W 3,14-4,12
19,2009-12-02,New York Knicks,W,118,104,W 4,15-4,14
20,2009-12-05,Golden State Warriors,W,126,118,W 5,16-4,8
21,2009-12-08,Los Angeles Clippers,W,97,86,W 6,17-4,11
22,2009-12-10,Utah Jazz,L,111,120,L 1,17-5,-9
23,2009-12-11,Phoenix Suns,L,103,106,L 2,17-6,-3
24,2009-12-14,Indiana Pacers,W,106,98,W 1,18-6,8
25,2009-12-16,Toronto Raptors,W,118,99,W 2,19-6,19
26,2009-12-17,Miami Heat,L,86,104,L 1,19-7,-18
27,2009-12-19,Portland Trail Blazers,W,92,83,W 1,20-7,9
28,2009-12-21,Utah Jazz,W,104,99,W 2,21-7,5
29,2009-12-23,Houston Rockets,W,102,87,W 3,22-7,15
30,2009-12-25,Boston Celtics,L,77,86,L 1,22-8,-9
31,2009-12-30,Milwaukee Bucks,W,117,92,W 1,23-8,25
32,2010-01-01,Minnesota Timberwolves,W,106,94,W 2,24-8,12
33,2010-01-02,Chicago Bulls,L,93,101,L 1,24-9,-8
34,2010-01-05,Indiana Pacers,L,90,97,L 2,24-10,-7
35,2010-01-06,Toronto Raptors,L,103,108,L 3,24-11,-5
36,2010-01-08,Washington Wizards,L,97,104,L 4,24-12,-7
37,2010-01-09,Atlanta Hawks,W,113,81,W 1,25-12,32
38,2010-01-12,Sacramento Kings,W,109,88,W 2,26-12,21
39,2010-01-13,Denver Nuggets,L,97,115,L 1,26-13,-18
40,2010-01-15,Portland Trail Blazers,L,87,102,L 2,26-14,-15
41,2010-01-18,Los Angeles Lakers,L,92,98,L 3,26-15,-6
42,2010-01-20,Indiana Pacers,W,109,98,W 1,27-15,11
43,2010-01-22,Sacramento Kings,W,100,84,W 2,28-15,16
44,2010-01-23,Charlotte Bobcats,W,106,95,W 3,29-15,11
45,2010-01-25,Memphis Grizzlies,L,94,99,L 1,29-16,-5
46,2010-01-28,Boston Celtics,W,96,94,W 1,30-16,2
47,2010-01-30,Atlanta Hawks,W,104,86,W 2,31-16,18
48,2010-01-31,Detroit Pistons,W,91,86,W 3,32-16,5
49,2010-02-02,Milwaukee Bucks,W,99,82,W 4,33-16,17
50,2010-02-05,Washington Wizards,L,91,92,L 1,33-17,-1
51,2010-02-07,Boston Celtics,W,96,89,W 1,34-17,7
52,2010-02-08,New Orleans Hornets,W,123,117,W 2,35-17,6
53,2010-02-10,Chicago Bulls,W,107,87,W 3,36-17,20
54,2010-02-11,Cleveland Cavaliers,L,106,115,L 1,36-18,-9
55,2010-02-17,Detroit Pistons,W,116,91,W 1,37-18,25
56,2010-02-19,Dallas Mavericks,L,85,95,L 1,37-19,-10
57,2010-02-21,Cleveland Cavaliers,W,101,95,W 1,38-19,6
58,2010-02-24,Houston Rockets,W,110,92,W 2,39-19,18
59,2010-02-26,New Orleans Hornets,L,93,100,L 1,39-20,-7
60,2010-02-28,Miami Heat,W,96,80,W 1,40-20,16
61,2010-03-01,Philadelphia 76ers,W,126,105,W 2,41-20,21
62,2010-03-03,Golden State Warriors,W,117,90,W 3,42-20,27
63,2010-03-05,New Jersey Nets,W,97,87,W 4,43-20,10
64,2010-03-07,Los Angeles Lakers,W,96,94,W 5,44-20,2
65,2010-03-09,Los Angeles Clippers,W,113,87,W 6,45-20,26
66,2010-03-11,Chicago Bulls,W,111,82,W 7,46-20,29
67,2010-03-13,Washington Wizards,W,109,95,W 8,47-20,14
68,2010-03-14,Charlotte Bobcats,L,89,96,L 1,47-21,-7
69,2010-03-17,San Antonio Spurs,W,110,84,W 1,48-21,26
70,2010-03-18,Miami Heat,W,108,102,W 2,49-21,6
71,2010-03-22,Philadelphia 76ers,W,109,93,W 3,50-21,16
72,2010-03-24,Atlanta Hawks,L,84,86,L 1,50-22,-2
73,2010-03-26,Minnesota Timberwolves,W,106,97,W 1,51-22,9
74,2010-03-28,Denver Nuggets,W,103,97,W 2,52-22,6
75,2010-04-01,Dallas Mavericks,W,97,82,W 3,53-22,15
76,2010-04-02,San Antonio Spurs,L,100,112,L 1,53-23,-12
77,2010-04-04,Memphis Grizzlies,W,107,92,W 1,54-23,15
78,2010-04-07,Washington Wizards,W,121,94,W 2,55-23,27
79,2010-04-09,New York Knicks,W,118,103,W 3,56-23,15
80,2010-04-11,Cleveland Cavaliers,W,98,92,W 4,57-23,6
81,2010-04-12,Indiana Pacers,W,118,98,W 5,58-23,20
82,2010-04-14,Philadelphia 76ers,W,125,111,W 6,59-23,14
