G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,1991-11-01,Houston Rockets,L,121,126,L 1,0-1,-5
2,1991-11-02,Dallas Mavericks,W,114,113,W 1,1-1,1
3,1991-11-05,Los Angeles Clippers,L,109,114,L 1,1-2,-5
4,1991-11-08,Phoenix Suns,L,85,113,L 2,1-3,-28
5,1991-11-10,Minnesota Timberwolves,W,96,86,W 1,2-3,10
6,1991-11-14,Golden State Warriors,W,115,112,W 2,3-3,3
7,1991-11-15,Houston Rockets,W,86,74,W 3,4-3,12
8,1991-11-17,Atlanta Hawks,W,111,89,W 4,5-3,22
9,1991-11-19,Phoenix Suns,W,103,95,W 5,6-3,8
10,1991-11-22,San Antonio Spurs,W,98,96,W 6,7-3,2
11,1991-11-24,Milwaukee Bucks,W,102,97,W 7,8-3,5
12,1991-11-26,Orlando Magic,W,98,87,W 8,9-3,11
13,1991-11-27,Miami Heat,W,89,87,W 9,10-3,2
14,1991-11-29,Boston Celtics,L,91,114,L 1,10-4,-23
15,1991-11-30,Philadelphia 76ers,W,93,91,W 1,11-4,2
16,1991-12-03,Milwaukee Bucks,L,94,126,L 1,11-5,-32
17,1991-12-04,Charlotte Hornets,L,106,124,L 2,11-6,-18
18,1991-12-06,New Jersey Nets,W,98,89,W 1,12-6,9
19,1991-12-08,Dallas Mavericks,W,103,88,W 2,13-6,15
20,1991-12-10,Sacramento Kings,W,92,90,W 3,14-6,2
21,1991-12-11,Utah Jazz,L,95,101,L 1,14-7,-6
22,1991-12-15,Sacramento Kings,W,110,94,W 1,15-7,16
23,1991-12-17,Chicago Bulls,W,102,89,W 2,16-7,13
24,1991-12-19,Minnesota Timberwolves,L,85,93,L 1,16-8,-8
25,1991-12-20,Detroit Pistons,L,93,112,L 2,16-9,-19
26,1991-12-22,Phoenix Suns,L,88,100,L 3,16-10,-12
27,1991-12-25,Los Angeles Clippers,W,85,75,W 1,17-10,10
28,1991-12-28,Portland Trail Blazers,L,88,98,L 1,17-11,-10
29,1991-12-30,Golden State Warriors,L,99,114,L 2,17-12,-15
30,1992-01-03,Indiana Pacers,L,87,114,L 3,17-13,-27
31,1992-01-05,Miami Heat,W,123,111,W 1,18-13,12
32,1992-01-07,Dallas Mavericks,W,104,80,W 2,19-13,24
33,1992-01-08,San Antonio Spurs,L,87,103,L 1,19-14,-16
34,1992-01-10,Denver Nuggets,W,102,88,W 1,20-14,14
35,1992-01-12,Orlando Magic,W,112,99,W 2,21-14,13
36,1992-01-15,Charlotte Hornets,W,95,93,W 3,22-14,2
37,1992-01-18,Seattle SuperSonics,L,108,112,L 1,22-15,-4
38,1992-01-20,Seattle SuperSonics,W,116,110,W 1,23-15,6
39,1992-01-21,Portland Trail Blazers,L,92,131,L 1,23-16,-39
40,1992-01-23,Sacramento Kings,W,108,105,W 1,24-16,3
41,1992-01-24,Sacramento Kings,W,95,92,W 2,25-16,3
42,1992-01-29,Golden State Warriors,W,112,99,W 3,26-16,13
43,1992-01-30,Denver Nuggets,W,106,96,W 4,27-16,10
44,1992-02-02,Chicago Bulls,L,97,103,L 1,27-17,-6
45,1992-02-03,Phoenix Suns,L,104,113,L 2,27-18,-9
46,1992-02-05,Los Angeles Clippers,W,100,95,W 1,28-18,5
47,1992-02-11,Minnesota Timberwolves,W,116,108,W 2,29-18,8
48,1992-02-13,Utah Jazz,L,91,97,L 1,29-19,-6
49,1992-02-14,Washington Bullets,L,92,108,L 2,29-20,-16
50,1992-02-16,Boston Celtics,L,107,114,L 3,29-21,-7
51,1992-02-17,Golden State Warriors,L,100,116,L 4,29-22,-16
52,1992-02-19,Los Angeles Clippers,L,94,125,L 5,29-23,-31
53,1992-02-20,Seattle SuperSonics,L,103,105,L 6,29-24,-2
54,1992-02-22,Golden State Warriors,L,124,126,L 7,29-25,-2
55,1992-02-26,New York Knicks,W,81,68,W 1,30-25,13
56,1992-02-28,Cleveland Cavaliers,L,90,101,L 1,30-26,-11
57,1992-03-01,Houston Rockets,L,97,105,L 2,30-27,-8
58,1992-03-03,Portland Trail Blazers,L,101,105,L 3,30-28,-4
