G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,2009-10-28,Indiana Pacers,W,120,109,W 1,1-0,11
2,2009-10-30,Washington Wizards,W,100,89,W 2,2-0,11
3,2009-11-01,Los Angeles Lakers,L,110,118,L 1,2-1,-8
4,2009-11-03,Portland Trail Blazers,W,97,91,W 1,3-1,6
5,2009-11-04,Sacramento Kings,W,113,105,W 2,4-1,8
6,2009-11-06,Charlotte Bobcats,L,83,103,L 1,4-2,-20
7,2009-11-07,Denver Nuggets,W,125,100,W 1,5-2,25
8,2009-11-11,New York Knicks,W,114,101,W 2,6-2,13
9,2009-11-13,Boston Celtics,W,97,86,W 3,7-2,11
10,2009-11-14,New Orleans Hornets,W,121,98,W 4,8-2,23
11,2009-11-16,Portland Trail Blazers,W,99,95,W 5,9-2,4
12,2009-11-18,Miami Heat,W,105,90,W 6,10-2,15
13,2009-11-20,Houston Rockets,W,105,103,W 7,11-2,2
14,2009-11-21,New Orleans Hornets,L,88,96,L 1,11-3,-8
15,2009-11-26,Orlando Magic,L,76,93,L 2,11-4,-17
16,2009-11-27,Philadelphia 76ers,W,100,86,W 1,12-4,14
17,2009-11-29,Detroit Pistons,L,88,94,L 1,12-5,-6
18,2009-12-02,Toronto Raptors,W,146,115,W 1,13-5,31
19,2009-12-04,New York Knicks,L,107,114,L 1,13-6,-7
20,2009-12-05,Dallas Mavericks,W,80,75,W 1,14-6,5
21,2009-12-09,Chicago Bulls,W,118,83,W 2,15-6,35
22,2009-12-11,Toronto Raptors,W,111,89,W 3,16-6,22
23,2009-12-13,New Jersey Nets,W,130,107,W 4,17-6,23
24,2009-12-16,Memphis Grizzlies,W,110,97,W 5,18-6,13
25,2009-12-18,Utah Jazz,W,96,83,W 6,19-6,13
26,2009-12-19,Chicago Bulls,L,98,101,L 1,19-7,-3
27,2009-12-22,Minnesota Timberwolves,W,112,87,W 1,20-7,25
28,2009-12-23,Denver Nuggets,L,104,124,L 1,20-8,-20
29,2009-12-26,Indiana Pacers,W,110,98,W 1,21-8,12
30,2009-12-29,Cleveland Cavaliers,L,84,95,L 1,21-9,-11
31,2009-12-30,Cleveland Cavaliers,L,101,106,L 2,21-10,-5
32,2010-01-01,New York Knicks,L,108,112,L 3,21-11,-4
33,2010-01-04,Miami Heat,L,75,92,L 4,21-12,-17
34,2010-01-06,New Jersey Nets,W,119,89,W 1,22-12,30
35,2010-01-08,Boston Celtics,W,93,85,W 2,23-12,8
36,2010-01-09,Orlando Magic,L,81,113,L 1,23-13,-32
37,2010-01-11,Boston Celtics,W,102,96,W 1,24-13,6
38,2010-01-13,Washington Wizards,W,94,82,W 2,25-13,12
39,2010-01-15,Phoenix Suns,W,102,101,W 3,26-13,1
40,2010-01-18,Oklahoma City Thunder,L,91,94,L 1,26-14,-3
41,2010-01-20,Sacramento Kings,W,108,97,W 1,27-14,11
42,2010-01-22,Charlotte Bobcats,W,103,89,W 2,28-14,14
43,2010-01-25,Houston Rockets,W,102,95,W 3,29-14,7
44,2010-01-27,San Antonio Spurs,L,90,105,L 1,29-15,-15
45,2010-01-29,Boston Celtics,W,100,91,W 1,30-15,9
46,2010-01-30,Orlando Magic,L,86,104,L 1,30-16,-18
47,2010-02-02,Oklahoma City Thunder,L,99,106,L 2,30-17,-7
48,2010-02-03,Los Angeles Clippers,W,103,97,W 1,31-17,6
49,2010-02-05,Chicago Bulls,W,91,81,W 2,32-17,10
50,2010-02-09,Memphis Grizzlies,W,108,94,W 3,33-17,14
51,2010-02-10,Miami Heat,L,76,94,L 1,33-18,-18
52,2010-02-17,Los Angeles Clippers,W,110,92,W 1,34-18,18
53,2010-02-19,Phoenix Suns,L,80,88,L 1,34-19,-8
54,2010-02-21,Golden State Warriors,L,104,108,L 2,34-20,-4
55,2010-02-22,Utah Jazz,W,105,100,W 1,35-20,5
56,2010-02-24,Minnesota Timberwolves,W,98,92,W 2,36-20,6
57,2010-02-26,Dallas Mavericks,L,103,111,L 1,36-21,-8
58,2010-02-28,Milwaukee Bucks,W,106,102,W 1,37-21,4
