G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,1997-10-31,Charlotte Hornets,W,97,85,W 1,1-0,12
2,1997-11-02,Detroit Pistons,L,86,94,L 1,1-1,-8
3,1997-11-04,Boston Celtics,W,102,70,W 1,2-1,32
4,1997-11-06,Phoenix Suns,W,105,75,W 2,3-1,30
5,1997-11-07,Los Angeles Lakers,L,94,99,L 1,3-2,-5
6,1997-11-09,Sacramento Kings,L,78,86,L 2,3-3,-8
7,1997-11-11,Denver Nuggets,W,93,90,W 1,4-3,3
8,1997-11-12,Toronto Raptors,W,93,70,W 2,5-3,23
9,1997-11-15,Sacramento Kings,W,114,87,W 3,6-3,27
10,1997-11-18,Houston Rockets,L,84,95,L 1,6-4,-11
11,1997-11-20,Atlanta Hawks,W,100,79,W 1,7-4,21
12,1997-11-21,Washington Wizards,W,104,82,W 2,8-4,22
13,1997-11-23,Vancouver Grizzlies,W,104,84,W 3,9-4,20
14,1997-11-28,Detroit Pistons,L,78,86,L 1,9-5,-8
15,1997-11-29,Phoenix Suns,W,102,80,W 1,10-5,22
16,1997-12-02,San Antonio Spurs,L,84,90,L 1,10-6,-6
17,1997-12-04,Dallas Mavericks,L,91,105,L 2,10-7,-14
18,1997-12-06,Charlotte Hornets,W,90,79,W 1,11-7,11
19,1997-12-07,Philadelphia 76ers,L,78,93,L 1,11-8,-15
20,1997-12-09,Chicago Bulls,L,82,100,L 2,11-9,-18
21,1997-12-11,Minnesota Timberwolves,W,107,103,W 1,12-9,4
22,1997-12-13,Philadelphia 76ers,W,95,83,W 2,13-9,12
23,1997-12-16,Detroit Pistons,W,83,78,W 3,14-9,5
24,1997-12-17,Indiana Pacers,L,80,87,L 1,14-10,-7
25,1997-12-19,Cleveland Cavaliers,W,104,77,W 1,15-10,27
26,1997-12-20,Milwaukee Bucks,L,78,98,L 1,15-11,-20
27,1997-12-22,Dallas Mavericks,W,79,67,W 1,16-11,12
28,1997-12-27,Toronto Raptors,L,94,97,L 1,16-12,-3
29,1997-12-30,Orlando Magic,W,84,79,W 1,17-12,5
30,1998-01-02,New Jersey Nets,L,98,103,L 1,17-13,-5
31,1998-01-03,Orlando Magic,W,88,84,W 1,18-13,4
32,1998-01-05,Washington Wizards,L,106,113,L 1,18-14,-7
33,1998-01-07,New Jersey Nets,W,89,88,W 1,19-14,1
34,1998-01-09,Chicago Bulls,L,89,90,L 1,19-15,-1
35,1998-01-11,Seattle SuperSonics,W,92,91,W 1,20-15,1
36,1998-01-13,Atlanta Hawks,L,89,91,L 1,20-16,-2
37,1998-01-17,Toronto Raptors,W,93,82,W 1,21-16,11
38,1998-01-19,Boston Celtics,W,98,82,W 2,22-16,16
39,1998-01-21,Indiana Pacers,W,97,89,W 3,23-16,8
40,1998-01-24,Detroit Pistons,W,99,92,W 4,24-16,7
41,1998-01-26,Boston Celtics,L,85,94,L 1,24-17,-9
42,1998-01-28,Miami Heat,L,82,86,L 2,24-18,-4
43,1998-01-29,Milwaukee Bucks,L,112,115,L 3,24-19,-3
44,1998-02-01,Miami Heat,W,89,83,W 1,25-19,6
45,1998-02-03,Milwaukee Bucks,L,78,82,L 1,25-20,-4
46,1998-02-04,Minnesota Timberwolves,L,88,95,L 2,25-21,-7
47,1998-02-10,Charlotte Hornets,W,99,91,W 1,26-21,8
48,1998-02-13,Orlando Magic,W,99,83,W 2,27-21,16
49,1998-02-15,Cleveland Cavaliers,W,102,91,W 3,28-21,11
50,1998-02-17,Denver Nuggets,W,91,77,W 4,29-21,14
51,1998-02-18,Utah Jazz,L,78,94,L 1,29-22,-16
52,1998-02-20,Portland Trail Blazers,W,98,89,W 1,30-22,9
53,1998-02-22,Houston Rockets,W,92,74,W 2,31-22,18
54,1998-02-24,Golden State Warriors,L,82,87,L 1,31-23,-5
55,1998-02-26,Milwaukee Bucks,W,102,90,W 1,32-23,12
56,1998-03-01,Los Angeles Lakers,W,101,89,W 2,33-23,12
57,1998-03-03,New Jersey Nets,W,94,91,W 3,34-23,3
58,1998-03-05,Washington Wizards,L,90,103,L 1,34-24,-13
59,1998-03-06,Philadelphia 76ers,L,71,80,L 2,34-25,-9
60,1998-03-08,Chicago Bulls,L,89,102,L 3,34-26,-13
61,1998-03-10,Orlando Magic,W,85,78,W 1,35-26,7
62,1998-03-11,Charlotte Hornets,L,78,85,L 1,35-27,-7
63,1998-03-14,Cleveland Cavaliers,L,85,88,L 2,35-28,-3
64,1998-03-15,Indiana Pacers,L,86,91,L 3,35-29,-5
65,1998-03-17,Philadelphia 76ers,W,100,96,W 1,36-29,4
66,1998-03-19,Portland Trail Blazers,L,77,82,L 1,36-30,-5
67,1998-03-20,Atlanta Hawks,W,109,108,W 1,37-30,1
68,1998-03-22,Utah Jazz,L,119,124,L 1,37-31,-5
69,1998-03-24,Golden State Warriors,W,88,75,W 1,38-31,13
70,1998-03-25,Los Angeles Clippers,W,77,76,W 2,39-31,1
71,1998-03-27,Vancouver Grizzlies,W,97,89,W 3,40-31,8
72,1998-03-28,Seattle SuperSonics,L,78,104,L 1,40-32,-26
73,1998-03-31,San Antonio Spurs,L,78,95,L 2,40-33,-17
74,1998-04-02,Los Angeles Clippers,W,81,70,W 1,41-33,11
75,1998-04-04,New Jersey Nets,L,94,97,L 1,41-34,-3
76,1998-04-05,Boston Celtics,L,92,102,L 2,41-35,-10
77,1998-04-07,Atlanta Hawks,L,79,92,L 3,41-36,-13
78,1998-04-08,Miami Heat,W,83,80,W 1,42-36,3
79,1998-04-12,Miami Heat,L,81,82,L 1,42-37,-1
80,1998-04-14,Washington Wizards,L,102,104,L 2,42-38,-2
81,1998-04-16,Toronto Raptors,W,108,79,W 1,43-38,29
82,1998-04-18,Chicago Bulls,L,109,111,L 1,43-39,-2
