G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,2015-10-27,Detroit Pistons,L,94,106,L 1,0-1,-12
2,2015-10-29,New York Knicks,W,112,101,W 1,1-1,11
3,2015-10-30,Charlotte Hornets,W,97,94,W 2,2-1,3
4,2015-11-01,Charlotte Hornets,W,94,92,W 3,3-1,2
5,2015-11-03,Miami Heat,W,98,92,W 4,4-1,6
6,2015-11-04,Brooklyn Nets,W,101,87,W 5,5-1,14
7,2015-11-06,New Orleans Pelicans,W,121,115,W 6,6-1,6
8,2015-11-07,Washington Wizards,W,114,99,W 7,7-1,15
9,2015-11-09,Minnesota Timberwolves,L,107,117,L 1,7-2,-10
10,2015-11-11,New Orleans Pelicans,W,106,98,W 1,8-2,8
11,2015-11-13,Boston Celtics,L,93,106,L 1,8-3,-13
12,2015-11-15,Utah Jazz,L,96,97,L 2,8-4,-1
13,2015-11-17,Brooklyn Nets,L,88,90,L 3,8-5,-2
14,2015-11-18,Sacramento Kings,W,103,97,W 1,9-5,6
15,2015-11-21,Cleveland Cavaliers,L,97,109,L 1,9-6,-12
16,2015-11-24,Boston Celtics,W,121,97,W 1,10-6,24
17,2015-11-25,Minnesota Timberwolves,L,95,99,L 1,10-7,-4
18,2015-11-27,Memphis Grizzlies,W,116,101,W 1,11-7,15
19,2015-11-28,San Antonio Spurs,L,88,108,L 1,11-8,-20
20,2015-11-30,Oklahoma City Thunder,W,106,100,W 1,12-8,6
21,2015-12-02,Toronto Raptors,L,86,96,L 1,12-9,-10
22,2015-12-04,Los Angeles Lakers,W,100,87,W 1,13-9,13
23,2015-12-09,Dallas Mavericks,W,98,95,W 2,14-9,3
24,2015-12-10,Oklahoma City Thunder,L,94,107,L 1,14-10,-13
25,2015-12-12,San Antonio Spurs,L,78,103,L 2,14-11,-25
26,2015-12-14,Miami Heat,L,88,100,L 3,14-12,-12
27,2015-12-16,Philadelphia 76ers,W,127,106,W 1,15-12,21
28,2015-12-18,Boston Celtics,W,109,101,W 2,16-12,8
29,2015-12-20,Orlando Magic,W,103,100,W 3,17-12,3
30,2015-12-21,Portland Trail Blazers,W,106,97,W 4,18-12,9
31,2015-12-23,Detroit Pistons,W,107,100,W 5,19-12,7
32,2015-12-26,New York Knicks,W,117,98,W 6,20-12,19
33,2015-12-28,Indiana Pacers,L,87,93,L 1,20-13,-6
34,2015-12-29,Houston Rockets,W,121,115,W 1,21-13,6
35,2016-01-03,New York Knicks,L,97,111,L 1,21-14,-14
36,2016-01-05,New York Knicks,L,101,107,L 2,21-15,-6
37,2016-01-07,Philadelphia 76ers,W,126,98,W 1,22-15,28
38,2016-01-09,Chicago Bulls,W,120,105,W 2,23-15,15
39,2016-01-13,Charlotte Hornets,L,84,107,L 1,23-16,-23
40,2016-01-15,Milwaukee Bucks,L,101,108,L 2,23-17,-7
41,2016-01-16,Brooklyn Nets,W,114,86,W 1,24-17,28
42,2016-01-18,Orlando Magic,W,98,81,W 2,25-17,17
43,2016-01-20,Portland Trail Blazers,W,104,98,W 3,26-17,6
44,2016-01-21,Sacramento Kings,L,88,91,L 1,26-18,-3
45,2016-01-23,Phoenix Suns,L,95,98,L 2,26-19,-3
46,2016-01-25,Denver Nuggets,W,119,105,W 1,27-19,14
47,2016-01-27,Los Angeles Clippers,L,83,85,L 1,27-20,-2
48,2016-01-28,Indiana Pacers,L,92,111,L 2,27-21,-19
49,2016-01-31,Miami Heat,L,87,105,L 3,27-22,-18
50,2016-02-01,Dallas Mavericks,W,112,97,W 1,28-22,15
51,2016-02-03,Philadelphia 76ers,W,124,86,W 2,29-22,38
