G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,2011-12-25,Orlando Magic,W,97,89,W 1,1-0,8
2,2011-12-26,Minnesota Timberwolves,W,104,100,W 2,2-0,4
3,2011-12-28,Memphis Grizzlies,W,98,95,W 3,3-0,3
4,2011-12-29,Dallas Mavericks,W,104,102,W 4,4-0,2
5,2011-12-31,Phoenix Suns,W,107,97,W 5,5-0,10
6,2012-01-02,Dallas Mavericks,L,87,100,L 1,5-1,-13
7,2012-01-03,Portland Trail Blazers,L,93,103,L 2,5-2,-10
8,2012-01-06,Houston Rockets,W,109,94,W 1,6-2,15
9,2012-01-07,Houston Rockets,W,98,95,W 2,7-2,3
10,2012-01-08,San Antonio Spurs,W,108,96,W 3,8-2,12
11,2012-01-10,Memphis Grizzlies,W,100,95,W 4,9-2,5
12,2012-01-11,New Orleans Hornets,W,95,85,W 5,10-2,10
13,2012-01-14,New York Knicks,W,104,92,W 6,11-2,12
14,2012-01-16,Boston Celtics,W,97,88,W 7,12-2,9
15,2012-01-18,Washington Wizards,L,102,105,L 1,12-3,-3
16,2012-01-21,New Jersey Nets,W,84,74,W 1,13-3,10
17,2012-01-23,Detroit Pistons,W,99,79,W 2,14-3,20
18,2012-01-25,New Orleans Hornets,W,101,91,W 3,15-3,10
19,2012-01-27,Golden State Warriors,W,120,109,W 4,16-3,11
20,2012-01-30,Los Angeles Clippers,L,100,112,L 1,16-4,-12
21,2012-02-01,Dallas Mavericks,W,95,86,W 1,17-4,9
22,2012-02-03,Memphis Grizzlies,W,101,94,W 2,18-4,7
23,2012-02-04,San Antonio Spurs,L,96,107,L 1,18-5,-11
24,2012-02-06,Portland Trail Blazers,W,111,107,W 1,19-5,4
25,2012-02-07,Golden State Warriors,W,119,116,W 2,20-5,3
26,2012-02-09,Sacramento Kings,L,101,106,L 1,20-6,-5
27,2012-02-10,Utah Jazz,W,101,87,W 1,21-6,14
28,2012-02-14,Utah Jazz,W,111,85,W 2,22-6,26
29,2012-02-15,Houston Rockets,L,95,96,L 1,22-7,-1
30,2012-02-17,Golden State Warriors,W,110,87,W 1,23-7,23
31,2012-02-19,Denver Nuggets,W,124,118,W 2,24-7,6
32,2012-02-20,New Orleans Hornets,W,101,93,W 3,25-7,8
33,2012-02-22,Boston Celtics,W,119,104,W 4,26-7,15
34,2012-02-23,Los Angeles Lakers,W,100,85,W 5,27-7,15
35,2012-02-29,Philadelphia 76ers,W,92,88,W 6,28-7,4
36,2012-03-01,Orlando Magic,W,105,102,W 7,29-7,3
37,2012-03-03,Atlanta Hawks,L,90,97,L 1,29-8,-7
38,2012-03-05,Dallas Mavericks,W,95,91,W 1,30-8,4
39,2012-03-07,Phoenix Suns,W,115,104,W 2,31-8,11
40,2012-03-09,Cleveland Cavaliers,L,90,96,L 1,31-9,-6
41,2012-03-10,Charlotte Bobcats,W,122,95,W 1,32-9,27
42,2012-03-13,Houston Rockets,L,103,104,L 1,32-10,-1
43,2012-03-15,Denver Nuggets,W,103,90,W 1,33-10,13
44,2012-03-16,San Antonio Spurs,L,105,114,L 1,33-11,-9
45,2012-03-18,Portland Trail Blazers,W,111,95,W 1,34-11,16
46,2012-03-20,Utah Jazz,L,90,97,L 1,34-12,-7
47,2012-03-21,Los Angeles Clippers,W,114,91,W 1,35-12,23
48,2012-03-23,Minnesota Timberwolves,W,149,140,W 2,36-12,9
49,2012-03-25,Miami Heat,W,103,87,W 3,37-12,16
50,2012-03-27,Portland Trail Blazers,W,109,95,W 4,38-12,14
51,2012-03-29,Los Angeles Lakers,W,102,93,W 5,39-12,9
52,2012-04-01,Chicago Bulls,W,92,78,W 6,40-12,14
53,2012-04-02,Memphis Grizzlies,L,88,94,L 1,40-13,-6
54,2012-04-04,Miami Heat,L,93,98,L 2,40-14,-5
55,2012-04-06,Indiana Pacers,L,98,103,L 3,40-15,-5
56,2012-04-08,Toronto Raptors,W,91,75,W 1,41-15,16
57,2012-04-09,Milwaukee Bucks,W,109,89,W 2,42-15,20
58,2012-04-11,Los Angeles Clippers,L,98,100,L 1,42-16,-2
59,2012-04-13,Sacramento Kings,W,115,89,W 1,43-16,26
60,2012-04-14,Minnesota Timberwolves,W,115,110,W 2,44-16,5
61,2012-04-16,Los Angeles Clippers,L,77,92,L 1,44-17,-15
62,2012-04-18,Phoenix Suns,W,109,97,W 1,45-17,12
63,2012-04-20,Sacramento Kings,W,103,92,W 2,46-17,11
64,2012-04-22,Los Angeles Lakers,L,106,114,L 1,46-18,-8
65,2012-04-24,Sacramento Kings,W,118,110,W 1,47-18,8
66,2012-04-25,Denver Nuggets,L,101,106,L 1,47-19,-5
