G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,1989-11-03,Chicago Bulls,L,119,124,L 1,0-1,-5
2,1989-11-04,Indiana Pacers,L,98,106,L 2,0-2,-8
3,1989-11-08,Orlando Magic,L,110,117,L 3,0-3,-7
4,1989-11-10,Washington Bullets,L,92,100,L 4,0-4,-8
5,1989-11-11,Boston Celtics,W,104,101,W 1,1-4,3
6,1989-11-14,New Jersey Nets,W,103,92,W 2,2-4,11
7,1989-11-15,Golden State Warriors,W,129,104,W 3,3-4,25
8,1989-11-17,Atlanta Hawks,W,131,125,W 4,4-4,6
9,1989-11-22,New York Knicks,W,97,85,W 5,5-4,12
10,1989-11-24,Detroit Pistons,L,82,101,L 1,5-5,-19
11,1989-11-25,Houston Rockets,L,75,85,L 2,5-6,-10
12,1989-11-28,Washington Bullets,W,92,91,W 1,6-6,1
13,1989-11-29,Philadelphia 76ers,L,84,114,L 1,6-7,-30
14,1989-12-01,Boston Celtics,L,89,102,L 2,6-8,-13
15,1989-12-02,Minnesota Timberwolves,L,74,101,L 3,6-9,-27
16,1989-12-05,Utah Jazz,L,80,94,L 4,6-10,-14
17,1989-12-07,Los Angeles Clippers,L,88,105,L 5,6-11,-17
18,1989-12-09,Sacramento Kings,W,108,101,W 1,7-11,7
19,1989-12-11,Utah Jazz,W,113,110,W 2,8-11,3
20,1989-12-13,Milwaukee Bucks,W,99,93,W 3,9-11,6
21,1989-12-15,Seattle SuperSonics,W,120,101,W 4,10-11,19
22,1989-12-20,Denver Nuggets,L,89,104,L 1,10-12,-15
23,1989-12-22,Milwaukee Bucks,L,100,112,L 2,10-13,-12
24,1989-12-25,Atlanta Hawks,L,104,115,L 3,10-14,-11
25,1989-12-27,Detroit Pistons,L,82,99,L 4,10-15,-17
26,1989-12-28,Charlotte Hornets,L,92,94,L 5,10-16,-2
27,1989-12-30,Phoenix Suns,W,110,102,W 1,11-16,8
28,1990-01-03,Chicago Bulls,L,87,93,L 1,11-17,-6
29,1990-01-05,Washington Bullets,W,119,107,W 1,12-17,12
30,1990-01-06,Orlando Magic,W,123,112,W 2,13-17,11
31,1990-01-10,Milwaukee Bucks,L,100,116,L 1,13-18,-16
32,1990-01-12,Philadelphia 76ers,W,113,102,W 1,14-18,11
33,1990-01-13,New Jersey Nets,W,98,96,W 2,15-18,2
34,1990-01-15,San Antonio Spurs,W,92,89,W 3,16-18,3
35,1990-01-17,Houston Rockets,L,98,107,L 1,16-19,-9
36,1990-01-19,San Antonio Spurs,L,101,104,L 2,16-20,-3
37,1990-01-20,Dallas Mavericks,L,96,105,L 3,16-21,-9
38,1990-01-23,Philadelphia 76ers,L,88,103,L 4,16-22,-15
