Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
Off Court,0.545,22.1,72.4,48.0,64.6,7.1,7.0,13.3,114.2
On-Off,0.518,22.2,71.2,47.0,61.0,6.4,7.6,14.6,106.2
On Court,0.027000000000000003,-0.1,1.2,1.0,3.6,0.7,-0.6,-1.3,8.0
