Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
Off Court,0.555,27.9,67.6,48.7,60.8,7.7,7.1,12.6,120.3
On-Off,0.494,26.7,69.4,49.3,50.3,6.2,8.4,17.1,102.9
On Court,0.061,1.2,-1.8,-0.6,10.5,1.5,-1.3,-4.5,17.4
