Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
Off Court,0.496,27.6,77.9,52.0,49.1,7.5,5.1,15.9,105.5
On-Off,0.47600000000000003,28.8,77.8,53.0,44.4,7.3,6.5,13.9,106.6
On Court,0.02,-1.2,0.1,-1.0,4.7,0.2,-1.4,2.0,-1.1
