Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
Off Court,0.48700000000000004,32.4,72.1,51.3,52.9,7.2,6.6,14.9,107.6
On-Off,0.46,30.6,73.3,50.7,51.2,9.3,7.3,13.0,105.1
On Court,0.027000000000000003,1.8,-1.2,0.6,1.7,-2.1,-0.7,1.9,2.5
