Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
On-Off,0.475,28.7,71.9,50.4,61.7,7.6,5.6,17.0,102.9
On Court,0.49200000000000005,25.5,69.5,48.3,61.0,8.2,7.6,13.9,107.2
Off Court,-0.017,3.2,2.4,2.1,0.7,-0.6,-2.0,3.1,-4.3
