Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
On-Off,0.486,28.1,71.3,49.6,67.4,9.2,8.5,14.6,106.2
On Court,0.46399999999999997,30.5,74.5,51.7,60.9,8.2,6.8,16.5,101.7
Off Court,0.022000000000000002,-2.4,-3.2,-2.1,6.5,1.0,1.7,-1.9,4.5
