Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
Off Court,0.441,26.9,73.2,48.7,61.9,7.1,4.8,15.0,98.5
On-Off,0.457,29.9,73.8,51.1,62.9,9.1,7.1,15.2,104.6
On Court,-0.016,-3.0,-0.6,-2.4,-1.0,-2.0,-2.3,-0.2,-6.1
