Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
Off Court,0.496,26.8,73.1,51.3,63.0,7.9,8.9,13.5,108.3
On-Off,0.441,26.2,70.1,48.9,58.4,6.6,6.7,17.3,93.8
On Court,0.055,0.6,3.0,2.4,4.6,1.3,2.2,-3.8,14.5
