Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
Off Court,0.489,24.1,73.8,47.5,59.0,8.6,6.0,15.2,104.2
On-Off,0.48200000000000004,25.7,72.3,48.9,63.0,8.1,6.0,17.9,101.4
On Court,0.006999999999999999,-1.6,1.5,-1.4,-4.0,0.5,0.0,-2.7,2.8
