Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
Off Court,0.527,26.2,75.9,52.5,55.9,8.3,10.8,15.9,112.2
On-Off,0.49200000000000005,27.7,74.3,51.1,57.1,9.6,8.2,15.8,103.3
On Court,0.035,-1.5,1.6,1.4,-1.2,-1.3,2.6,0.1,8.9
