Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
Off Court,0.512,20.5,71.1,45.6,56.3,9.0,8.6,14.3,107.6
On-Off,0.508,22.4,74.1,48.9,50.4,8.0,9.6,13.4,109.5
On Court,0.004,-1.9,-3.0,-3.3,5.9,1.0,-1.0,0.9,-1.9
