Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
Off Court,0.509,28.9,79.5,54.4,53.8,8.4,8.6,14.9,111.5
On-Off,0.47700000000000004,25.9,77.6,51.1,51.6,7.0,7.8,16.4,101.0
On Court,0.032,3.0,1.9,3.3,2.2,1.4,0.8,-1.5,10.5
