Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
Off Court,0.467,24.1,70.4,46.4,56.0,7.6,9.1,14.5,102.2
On-Off,0.44799999999999995,22.8,71.3,46.8,53.7,7.6,9.7,18.9,94.8
On Court,0.019,1.3,-0.9,-0.4,2.3,0.0,-0.6,-4.4,7.4
