Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
Off Court,0.507,29.6,75.9,53.6,58.8,7.4,8.2,15.1,111.0
On-Off,0.478,28.7,77.2,53.2,64.6,9.8,11.6,17.3,100.9
On Court,0.028999999999999998,0.9,-1.3,0.4,-5.8,-2.4,-3.4,-2.2,10.1
