Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
Off Court,0.45799999999999996,28.1,69.3,48.2,61.1,8.8,7.8,16.8,98.4
On-Off,0.46799999999999997,25.6,67.0,46.0,63.6,9.5,8.7,16.5,98.6
On Court,-0.01,2.5,2.3,2.2,-2.5,-0.7,-0.9,0.3,-0.2
