Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
On-Off,0.47,30.7,71.9,51.8,57.0,9.4,7.7,16.7,104.1
On Court,0.461,33.0,74.4,54.0,62.4,8.5,6.6,18.7,100.2
Off Court,0.009000000000000001,-2.3,-2.5,-2.2,-5.4,0.9,1.1,-2.0,3.9
