Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
Off Court,0.526,28.1,74.8,52.2,55.2,8.8,9.1,13.6,115.6
On-Off,0.49200000000000005,26.4,73.9,51.4,54.3,5.7,7.3,16.8,102.6
On Court,0.034,1.7,0.9,0.8,0.9,3.1,1.8,-3.2,13.0
