Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
Off Court,0.485,26.7,77.5,50.6,56.8,8.1,5.3,17.7,103.3
On-Off,0.493,27.9,78.6,51.9,56.5,10.3,7.1,15.7,106.7
On Court,-0.008,-1.2,-1.1,-1.3,0.3,-2.2,-1.8,2.0,-3.4
