Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
Off Court,0.46399999999999997,25.2,71.9,47.8,56.4,6.7,6.4,16.2,100.6
On-Off,0.48100000000000004,26.1,73.6,48.6,56.9,8.7,9.4,13.2,108.8
On Court,-0.017,-0.9,-1.7,-0.8,-0.5,-2.0,-3.0,3.0,-8.2
