Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
Off Court,0.561,22.5,73.3,49.4,59.8,10.1,9.2,14.2,116.5
On-Off,0.529,21.4,72.1,48.1,60.7,7.9,8.9,18.4,104.6
On Court,0.032,1.1,1.2,1.3,-0.9,2.2,0.3,-4.2,11.9
