Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
Off Court,0.48200000000000004,23.0,75.0,47.5,56.0,7.0,6.3,14.3,104.3
On-Off,0.483,22.2,74.7,47.6,58.4,8.2,8.0,12.9,105.8
On Court,-0.001,0.8,0.3,-0.1,-2.4,-1.2,-1.7,1.4,-1.5
