Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
Off Court,0.5479999999999999,25.0,77.0,52.5,60.0,7.7,8.3,14.6,115.8
On-Off,0.484,25.3,77.8,52.4,56.3,7.0,8.1,17.3,100.5
On Court,0.064,-0.3,-0.8,0.1,3.7,0.7,0.2,-2.7,15.3
