Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
Off Court,0.47700000000000004,26.5,73.6,49.1,56.9,8.6,6.4,18.5,100.1
On-Off,0.485,25.0,72.9,48.3,56.4,10.3,7.5,17.4,101.7
On Court,-0.008,1.5,0.7,0.8,0.5,-1.7,-1.1,1.1,-1.6
