Split,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg
Off Court,0.516,26.4,73.5,50.9,54.6,10.5,9.5,15.3,110.5
On-Off,0.474,27.1,75.0,51.7,51.6,7.2,7.5,19.9,98.1
On Court,0.042,-0.7,-1.5,-0.8,3.0,3.3,2.0,-4.6,12.4
